table,code_ref_count,doc_wiki_ref_count
airports,177,62
dbo.adl_flight_core,164,9
dbo.adl_flight_plan,113,8
dbo.adl_flight_times,94,4
assigned,93,36
dbo.adl_flight_position,88,5
dbo.tmi_programs,69,4
dbo.apts,57,4
adl_flight_core,51,22
dbo.swim_flights,43,3
dbo.adl_flight_tmi,42,2
dbo.adl_flight_aircraft,39,2
dbo.adl_flight_waypoints,37,4
tmi_programs,37,30
organizations,35,11
dbo.airport_config,33,0
dbo.tmi_flight_control,33,0
playbook_plays,32,9
playbook_routes,32,13
p_plans,30,8
nav_fixes,27,21
dbo.tmi_reroutes,25,1
dbo.tmi_slots,25,1
dbo.tmi_entries,24,2
artcc_boundaries,23,11
dbo.airport_config_runway,23,0
dbo.vw_adl_flights,23,2
dbo.airport_config_rate,21,0
dbo.adl_flight_trajectory,20,2
dbo.nav_fixes,20,1
tmi_entries,20,18
user_orgs,19,3
dbo.adl_parse_queue,18,2
p_configs,18,7
sector_boundaries,18,8
tmi_reroutes,18,14
tracon_boundaries,18,10
adl_boundary,17,4
dbo.adl_boundary,17,0
dbo.tmi_advisories,17,1
dbo.tmi_events,17,1
dbo.vatsim_atis,17,0
tmi_public_routes,17,10
dbo.adl_flight_changelog,16,1
dbo.ctp_flight_control,16,0
dbo.tmi_public_routes,16,1
dbo.ntml,15,2
playbook_changelog,15,8
dbo.aircraft_performance_profiles,14,0
dbo.coded_departure_routes,14,1
tmi_proposals,14,14
dbo.adl_flight_planned_crossings,13,0
dbo.adl_zone_events,13,1
dbo.swim_api_keys,13,3
dbo.tmi_proposals,13,1
dbo.vatusa_event_airport,13,0
p_dcc_staffing,13,4
tmi_advisories,13,22
dbo.nav_procedures,12,1
dbo.vatusa_event,12,0
dbo.vatusa_event_hourly,12,0
dbo.vw_airport_config_summary,12,1
p_terminal_init,12,4
p_terminal_init_times,12,3
p_terminal_staffing,12,4
dbo.perti_events,11,1
p_enroute_init_timeline,11,4
p_enroute_init_times,11,3
p_enroute_staffing,11,4
dbo.adl_boundary_grid,10,0
dbo.adl_flights,10,0
dbo.airport_geometry,10,1
dbo.airways,10,0
dbo.atis_config_history,10,0
dbo.flight_phase_snapshot,10,0
dbo.tmi_reroute_flights,10,1
dbo.tmi_reroute_routes,10,0
p_op_goals,10,4
p_terminal_init_timeline,10,4
points.csv,10,3
dbo.adl_flight_boundary_log,9,0
dbo.ctp_sessions,9,0
dbo.swim_audit_log,9,2
dbo.wind_grid,9,0
gdt.js,9,22
p_enroute_constraints,9,3
p_enroute_init,9,4
p_enroute_planning,9,3
p_forecast,9,4
p_group_flights,9,3
p_terminal_constraints,9,3
p_terminal_planning,9,3
sys.check_constraints,9,0
tmi_reroute_flights,9,8
dbo.adl_flights_history,8,0
dbo.airport_weather_impact,8,0
dbo.airway_segments,8,0
dbo.config_modifier,8,0
dbo.jatoc_incidents,8,0
dbo.public_routes,8,0
dbo.runway_in_use,8,0
dbo.tmi_flow_events,8,0
dbo.tmi_flow_providers,8,0
dbo.tmi_popup_queue,8,0
dbo.weather_alerts,8,0
navaids.csv,8,2
p_historical,8,3
splits_configs,8,6
splits_positions,8,5
sua_activations,8,2
adl_flight_boundary_log,7,4
dbo.adl_flights_gdp,7,0
dbo.adl_flights_gs,7,0
dbo.ctp_audit_log,7,1
dbo.playbook_routes,7,0
dbo.tmi_discord_posts,7,1
dbo.tmi_proposal_facilities,7,0
dbo.vw_airport_config_rates,7,1
dbo.vw_current_runways_in_use,7,0
playbook_routes.csv,7,5
r_comments,7,5
r_data,7,5
r_scores,7,5
tmi_reroute_compliance_log,7,10
boundary_adjacency,6,2
cdrs.csv,6,6
dbo.ACD_Data,6,0
dbo.adl_region_group,6,0
dbo.adl_tmi_trajectory,6,1
dbo.airlines,6,0
dbo.airport_geometry_import_log,6,0
dbo.facility_flow_elements,6,0
dbo.flight_stats_job_config,6,0
dbo.gdp_log,6,0
dbo.ntml_info,6,1
dbo.tmi_reroute_compliance_log,6,1
Statsim.net,6,0
sys.partitions,6,0
aviationweather.gov,5,3
boundary_hierarchy,5,0
dbo.adl_slots_gdp,5,0
dbo.adl_staging_pilots,5,0
dbo.adl_trajectory_archive,5,1
dbo.artcc_facilities,5,0
dbo.artcc_tier_group_members,5,0
dbo.ctp_route_templates,5,0
dbo.dcc_advisories,5,0
dbo.facility_tier_config_members,5,0
dbo.facility_tier_configs,5,0
dbo.flight_stats_airport,5,0
dbo.flight_stats_artcc,5,0
dbo.flight_stats_citypair,5,0
dbo.flight_stats_daily,5,0
dbo.flight_stats_hourly,5,0
dbo.flight_stats_run_log,5,0
dbo.flight_stats_tmi,5,0
dbo.jatoc_reports,5,0
dbo.tmi_advisory_sequences,5,2
dbo.tmi_flight_list,5,1
dbo.tmi_program_coordination_log,5,1
dbo.tmi_proposal_reactions,5,0
dbo.vw_tmi_active_programs,5,0
demand.js,5,15
dp_full_routes.csv,5,2
org_facilities,5,3
r_tmr_reports,5,4
splits_areas,5,2
star_full_routes.csv,5,2
SUA.geojson,5,1
sys.types,5,0
VATSIM_ADL.dbo.ntml,5,0
awys.csv,4,2
dbo.adl_airspace_element,4,0
dbo.adl_archive_config,4,0
dbo.adl_archive_log,4,1
dbo.adl_flight_archive,4,0
dbo.adl_flight_stepclimbs,4,1
dbo.adl_flight_weather_impact,4,0
dbo.adl_region_airports,4,0
dbo.adl_staging_prefiles,4,0
dbo.airport_config_rate_history,4,0
dbo.area_centers,4,0
dbo.artcc_tier_groups,4,0
dbo.cdm_airport_status,4,0
dbo.cdm_compliance_live,4,0
dbo.cdm_messages,4,0
dbo.dcc_discord_tmi,4,0
dbo.division_events,4,0
dbo.fir_boundaries,4,0
dbo.flight_stats_aircraft,4,0
dbo.flight_stats_monthly_airport,4,0
dbo.flight_stats_monthly_summary,4,0
dbo.manual_rate_override,4,0
dbo.modifier_category,4,0
dbo.modifier_type,4,0
dbo.tmi_flow_event_participants,4,0
dbo.tmi_flow_measures,4,0
dbo.vw_cdm_current_readiness,4,0
dbo.vw_current_airport_config,4,0
dbo.vw_tmi_active_advisories,4,0
dbo.vw_tmi_active_entries,4,0
dbo.vw_tmi_active_public_routes,4,0
dbo.vw_tmi_active_reroutes,4,0
historical_network_stats,4,1
playbook_play_acl,4,0
playbook_route_groups,4,0
sua_boundaries.json,4,1
VATSIM_ADL.dbo.apts,4,0
VATSIM_REF.dbo.coded_departure_routes,4,1
adl_boundary_grid,3,5
artcc_tier_matrix,3,0
dbo.adl_changelog_batch,3,0
dbo.adl_changelog_change_types,3,0
dbo.adl_region_group_members,3,0
dbo.airport_taxi_reference,3,0
dbo.artcc_tier_types,3,0
dbo.demand_monitors,3,0
dbo.discord_sent_messages,3,0
