table,code_file
INFORMATION_SCHEMA.PARAMETERS,scripts/indexer/database_indexer.php
INFORMATION_SCHEMA.ROUTINES,scripts/indexer/database_indexer.php
INFORMATION_SCHEMA.STATISTICS,database/migrations/initiatives/004_initiative_timeline_alter_mysql.sql
INFORMATION_SCHEMA.VIEWS,scripts/indexer/database_indexer.php
NEW.parent_artcc,database/migrations/postgis/003_airports_table.sql
NEW.parent_tracon,database/migrations/postgis/003_airports_table.sql
SUA.geojson,api/data/sua/sua_geojson.php
SUA.geojson,api/data/sua/sua_list.php
SUA.geojson,scripts/merge_sua_data.js
SUA.geojson,scripts/merge_sua_data.php
SUA.geojson,scripts/transform_sua_geojson.js
Statsim.net,adl/migrations/stats/005_vatusa_event_stats.sql
Statsim.net,api/statsim/fetch.php
Statsim.net,api/statsim/plan_info.php
Statsim.net,assets/js/statsim_rates.js
Statsim.net,scripts/statsim/new_events_import.sql
Statsim.net,scripts/statsim_scraper.js
VATSIM_ADL.apts,scripts/refdata_sync_daemon.php
VATSIM_ADL.dbo.adl_flight_aircraft,database/migrations/swim/002_swim_api_database.sql
VATSIM_ADL.dbo.adl_flight_core,database/migrations/swim/002_swim_api_database.sql
VATSIM_ADL.dbo.adl_flight_plan,database/migrations/swim/002_swim_api_database.sql
VATSIM_ADL.dbo.adl_flight_position,database/migrations/swim/002_swim_api_database.sql
VATSIM_ADL.dbo.adl_flight_times,database/migrations/swim/002_swim_api_database.sql
VATSIM_ADL.dbo.adl_flight_tmi,database/migrations/swim/002_swim_api_database.sql
VATSIM_ADL.dbo.airway_segments,adl/migrations/ref/002_initial_data_load.sql
VATSIM_ADL.dbo.airway_segments,adl/scripts/sync_ref_to_adl.sql
VATSIM_ADL.dbo.airways,adl/migrations/ref/002_initial_data_load.sql
VATSIM_ADL.dbo.airways,adl/scripts/sync_ref_to_adl.sql
VATSIM_ADL.dbo.apts,api/statsim/plan_info.php
VATSIM_ADL.dbo.apts,assets/js/statsim_rates.js
VATSIM_ADL.dbo.apts,database/migrations/adl/022_cdr_artcc_columns.sql
VATSIM_ADL.dbo.apts,scripts/refdata_sync_daemon.php
VATSIM_ADL.dbo.area_centers,adl/migrations/ref/002_initial_data_load.sql
VATSIM_ADL.dbo.area_centers,adl/scripts/sync_ref_to_adl.sql
VATSIM_ADL.dbo.coded_departure_routes,adl/migrations/ref/002_initial_data_load.sql
VATSIM_ADL.dbo.coded_departure_routes,adl/scripts/sync_ref_to_adl.sql
VATSIM_ADL.dbo.nav_fixes,adl/migrations/ref/002_initial_data_load.sql
VATSIM_ADL.dbo.nav_fixes,adl/scripts/sync_ref_to_adl.sql
VATSIM_ADL.dbo.nav_procedures,adl/migrations/ref/002_initial_data_load.sql
