table,source_count,sources_sample
NEW.parent_artcc,1,qualified_ref:database/migrations/postgis/003_airports_table.sql
NEW.parent_tracon,1,qualified_ref:database/migrations/postgis/003_airports_table.sql
Statsim.net,1,qualified_ref:adl/migrations/stats/005_vatusa_event_stats.sql
VATSIM_ADL.apts,1,qualified_ref:scripts/refdata_sync_daemon.php
adl_boundary,9,alter_table:adl/migrations/boundaries/005_widen_boundary_columns.sql; alter_table:adl/migrations/boundaries/008_boundary_optimization.sql; alter_table:adl/migrations/boundaries/011_artcc_hierarchy.sql; alter_table:adl/migrations/boundaries/012_boundary_hierarchy.sql; create_table:adl/migrations/boundaries/001_boundaries_schema.sql; index_on:adl/migrations/boundaries/001_boundaries_schema.sql; index_on:adl/migrations/boundaries/008_boundary_optimization.sql; index_on:adl/migrations/boundaries/011_artcc_hierarchy.sql; index_on:adl/migrations/boundaries/012_boundary_hierarchy.sql
adl_boundary_grid,1,index_on:adl/migrations/boundaries/009_boundary_grid_lookup.sql
adl_boundary_import_log,1,create_table:adl/migrations/boundaries/004_boundary_import_failures_log.sql
adl_flight_boundary_log,7,alter_table:adl/migrations/boundaries/006_fix_boundary_log_schema.sql; create_table:adl/migrations/boundaries/001_boundaries_schema.sql; create_table:adl/migrations/boundaries/002_boundaries_log_fix.sql; create_table:adl/migrations/boundaries/006_fix_boundary_log_schema.sql; index_on:adl/migrations/boundaries/001_boundaries_schema.sql; index_on:adl/migrations/boundaries/002_boundaries_log_fix.sql; index_on:adl/migrations/boundaries/006_fix_boundary_log_schema.sql
adl_flight_core,2,alter_table:adl/migrations/boundaries/001_boundaries_schema.sql; alter_table:adl/migrations/boundaries/006_fix_boundary_log_schema.sql
airports,2,create_table:database/migrations/postgis/003_airports_table.sql; index_on:database/migrations/postgis/003_airports_table.sql
analog_similarity_matrix,1,create_table:database/migrations/vatsim_stats/001_complete_schema.sql
artcc_boundaries,5,alter_table:database/migrations/postgis/005_boundary_capacity.sql; alter_table:scripts/postgis/014_artcc_hierarchy.sql; alter_table:scripts/postgis/015_boundary_hierarchy.sql; create_table:database/migrations/postgis/001_boundaries_schema.sql; index_on:database/migrations/postgis/001_boundaries_schema.sql
artcc_tier_matrix,1,index_on:scripts/postgis/012_artcc_tier_matrix.sql
assigned,1,alter_table:database/migrations/org/002_add_org_code_to_plans.sql
aviationweather.gov,1,qualified_ref:adl/php/import_weather_alerts.php
boundary_adjacency,2,create_table:scripts/postgis/009_boundary_adjacency_network.sql; index_on:scripts/postgis/009_boundary_adjacency_network.sql
boundary_hierarchy,3,create_table:adl/migrations/boundaries/012_boundary_hierarchy.sql; create_table:scripts/postgis/015_boundary_hierarchy.sql; index_on:adl/migrations/boundaries/012_boundary_hierarchy.sql
context_events,1,create_table:database/migrations/vatsim_stats/001_complete_schema.sql
daily_feature_vectors,1,create_table:database/migrations/vatsim_stats/001_complete_schema.sql
