doc_or_wiki_file,table_ref_count,tables
docs/plans/2026-02-15-vatcan-interop-design.md,35,org_facilities; organizations; p_configs; p_dcc_staffing; p_enroute_constraints; p_enroute_init; p_enroute_init_timeline; p_enroute_init_times; p_enroute_planning; p_enroute_staffing; p_forecast; p_group_flights; p_historical; p_op_goals; p_plans; p_terminal_constraints; p_terminal_init; p_terminal_init_timeline; p_terminal_init_times; p_terminal_planning; p_terminal_staffing; r_comments; r_data; r_ops_data; r_scores; tmi_advisories; tmi_airport_configs; tmi_delay_entries; tmi_entries; tmi_programs
docs/plans/2026-02-15-vatcan-interop-implementation.md,35,dbo.tmi_entries; org_facilities; p_configs; p_dcc_staffing; p_enroute_constraints; p_enroute_init; p_enroute_init_timeline; p_enroute_init_times; p_enroute_planning; p_enroute_staffing; p_forecast; p_group_flights; p_historical; p_op_goals; p_plans; p_terminal_constraints; p_terminal_init; p_terminal_init_timeline; p_terminal_init_times; p_terminal_planning; p_terminal_staffing; r_comments; r_data; r_ops_data; r_scores; tmi_advisories; tmi_airport_configs; tmi_delay_entries; tmi_entries; tmi_programs
docs/DEPLOYMENT_GUIDE.md,34,adl_flight_core; artcc_boundaries; dbo.apts; nav_fixes; org_facilities; p_configs; p_dcc_staffing; p_enroute_constraints; p_enroute_init; p_enroute_init_timeline; p_enroute_init_times; p_enroute_planning; p_enroute_staffing; p_forecast; p_group_flights; p_historical; p_op_goals; p_plans; p_terminal_constraints; p_terminal_init; p_terminal_init_timeline; p_terminal_init_times; p_terminal_planning; p_terminal_staffing; playbook_routes; r_comments; r_data; r_ops_data; r_scores; sector_boundaries
wiki/Navigation-Helper.md,29,adl_boundary; adl_flight_boundary_log; adl_flight_core; airports; artcc_boundaries; boundary_adjacency; nav_fixes; p_configs; p_dcc_staffing; p_enroute_init_timeline; p_enroute_staffing; p_forecast; p_op_goals; p_plans; p_terminal_init_timeline; p_terminal_staffing; playbook_changelog; playbook_plays; playbook_routes; r_comments; r_data; r_ops_data; r_scores; sector_boundaries; tmi_programs; tmi_reroute_compliance_log; tmi_reroute_flights; tmi_reroutes; tracon_boundaries
wiki/Database-Schema.md,25,adl_boundary; adl_flight_core; airports; artcc_boundaries; boundary_adjacency; nav_fixes; p_plans; playbook_changelog; playbook_plays; playbook_routes; r_tmr_reports; sector_boundaries; splits_areas; splits_configs; tmi_advisories; tmi_airport_configs; tmi_delay_entries; tmi_entries; tmi_programs; tmi_proposals; tmi_public_routes; tmi_reroute_compliance_log; tmi_reroute_flights; tmi_reroutes; tracon_boundaries
docs/tmi/DATABASE.md,21,adl_flight_core; dbo.adl_flight_core; dbo.adl_flight_tmi; dbo.tmi_advisories; dbo.tmi_advisory_sequences; dbo.tmi_entries; dbo.tmi_events; dbo.tmi_programs; dbo.tmi_public_routes; dbo.tmi_reroute_compliance_log; dbo.tmi_reroute_flights; dbo.tmi_reroutes; dbo.tmi_slots; tmi_advisories; tmi_entries; tmi_programs; tmi_proposals; tmi_public_routes; tmi_reroute_compliance_log; tmi_reroute_flights; tmi_reroutes
docs/COMPUTATIONAL_REFERENCE.md,19,adl_boundary; adl_boundary_grid; adl_flight_boundary_log; adl_flight_core; artcc_boundaries; dbo.adl_flight_plan; dbo.adl_flight_waypoints; dbo.fn_AirwayDemandBucketed; dbo.fn_AirwaySegmentDemandBucketed; dbo.fn_BatchDemandBucketed; dbo.fn_FixDemand; dbo.fn_RouteSegmentDemand; dbo.fn_ViaDemandBucketed; dbo.tmi_advisory_sequences; nav_fixes; sector_boundaries; tmi_advisories; tmi_programs; tracon_boundaries
docs/VATSIM_STATS_DATABASE.md,19,analog_similarity_matrix; daily_feature_vectors; daily_pattern_assignments; dim_time; fact_facility_5min; fact_network_5min; historical_network_stats; pattern_archetypes; pattern_clusters; stats_aircraft_daily; stats_airport_daily; stats_carrier_daily; stats_facility_daily; stats_network_daily; stats_network_hourly; stats_network_monthly; stats_network_weekly; stats_network_yearly; traffic_baselines
docs/STATUS.md,17,adl_boundary; adl_flight_core; artcc_boundaries; nav_fixes; p_plans; playbook_routes; tmi_advisories; tmi_airport_configs; tmi_delay_entries; tmi_entries; tmi_programs; tmi_proposals; tmi_public_routes; tmi_reroute_compliance_log; tmi_reroute_flights; tmi_reroutes; tracon_boundaries
docs/fmds-comparison.md,17,adl_boundary_grid; adl_flight_core; artcc_boundaries; aviationweather.gov; nav_fixes; p_configs; sector_boundaries; splits_configs; splits_positions; sua_activations; tmi_advisories; tmi_entries; tmi_programs; tmi_proposals; tmi_reroute_compliance_log; tmi_reroutes; tracon_boundaries
