table_base,variants,code_ref_count,doc_wiki_ref_count,sample_code_refs,sample_doc_wiki_refs
adl_flight_core,adl_flight_core; dbo.adl_flight_core,160,31,adl/analysis/eta_wind_accuracy_analysis.sql; adl/analysis/eta_wind_accuracy_report.php; adl/migrations/086_parse_queue_cleanup.sql; adl/migrations/086b_fix_retention.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/boundaries/001_boundaries_schema.sql; adl/migrations/boundaries/003_boundary_import_procedure.sql; adl/migrations/boundaries/007_integrate_boundary_detection.sql; adl/migrations/changelog/000_deploy_changelog_system.sql; adl/migrations/changelog/003_trigger_flight_plan.sql,docs/AZURE_COST_OPTIMIZATION_ANALYSIS.md; docs/COMPUTATIONAL_REFERENCE.md; docs/DEPLOYMENT_GUIDE.md; docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md; docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/adl-ingest-outage-2026-02-17-claude-brief.md; docs/fmds-comparison.md; docs/planned_crossings_performance.md; docs/plans/2026-02-02-adl-raw-data-lake-design.md
adl_flight_plan,dbo.adl_flight_plan,109,8,adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/086_parse_queue_cleanup.sql; adl/migrations/086b_fix_retention.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/backfill/backfill_quick_v43.sql; adl/migrations/backfill/backfill_reparse_v43.sql; adl/migrations/changelog/006_utility_procedures.sql; adl/migrations/core/005_adl_views_seed_data.sql; adl/migrations/core/007_remove_flight_status.sql; adl/migrations/crossings/FIX_COLUMN_NAMES.sql,docs/COMPUTATIONAL_REFERENCE.md; docs/adl-ingest-outage-2026-02-17-claude-brief.md; docs/plans/2026-02-02-tmi-trajectory.md; docs/route_distance_transition.md; docs/simbrief_parsing_transition.md; docs/swim/ADL_NORMALIZED_SCHEMA_REFERENCE.md; docs/swim/VATSWIM_Release_Documentation.md; wiki/Algorithm-Route-Parsing.md
adl_flight_position,dbo.adl_flight_position,85,5,adl/migrations/core/005_adl_views_seed_data.sql; adl/migrations/core/007_remove_flight_status.sql; adl/migrations/core/013_backfill_flight_phases.sql; adl/migrations/crossings/DEPLOY_ALL_CROSSINGS.sql; adl/migrations/crossings/FIX_COLUMN_NAMES.sql; adl/migrations/eta/004_fix_sp_CalculateETA.sql; adl/migrations/eta/005_sp_ProcessTrajectoryBatch.sql; adl/migrations/eta/006_fix_batch_proc.sql; adl/migrations/eta/008_eta_trajectory_deploy.sql; adl/migrations/eta/010_eta_batch_consolidation.sql,docs/adl-ingest-outage-2026-02-17-claude-brief.md; docs/plans/2026-02-02-tmi-trajectory.md; docs/route_distance_transition.md; docs/swim/ADL_NORMALIZED_SCHEMA_REFERENCE.md; docs/swim/VATSWIM_Release_Documentation.md
adl_flight_times,dbo.adl_flight_times,85,4,adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/098_adl_flight_times_fixm_columns.sql; adl/migrations/core/005_adl_views_seed_data.sql; adl/migrations/core/007_remove_flight_status.sql; adl/migrations/eta/004_fix_sp_CalculateETA.sql; adl/migrations/eta/005_sp_ProcessTrajectoryBatch.sql; adl/migrations/eta/006_fix_batch_proc.sql; adl/migrations/eta/008_eta_trajectory_deploy.sql; adl/migrations/eta/010_eta_batch_consolidation.sql,docs/adl-ingest-outage-2026-02-17-claude-brief.md; docs/swim/ADL_NORMALIZED_SCHEMA_REFERENCE.md; docs/swim/VATSWIM_Release_Documentation.md; wiki/Algorithm-ETA-Calculation.md
apts,VATSIM_ADL.apts; dbo.apts,57,5,adl/migrations/088_airport_groupings_aspm82_opsnet45.sql; adl/migrations/eta/004_fix_sp_CalculateETA.sql; adl/migrations/eta/005_sp_ProcessTrajectoryBatch.sql; adl/migrations/eta/006_fix_batch_proc.sql; adl/migrations/eta/010_eta_batch_consolidation.sql; adl/migrations/eta/011_eta_batch_fix.sql; adl/migrations/navdata/006_simbrief_refresh_integration.sql; adl/migrations/navdata/011_ourairports_global_import.sql; adl/migrations/oooi/002_oooi_deploy.sql; adl/migrations/oooi/003_seed_airport_zones.sql,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-08-airport-groupings-design.md; docs/plans/2026-02-08-airport-groupings-implementation.md; docs/superpowers/specs/2026-03-13-swim-playbook-cdr-routes-design.md; docs/tmi/TMI_Publisher_v1.8.0_Transition.md
tmi_programs,dbo.tmi_programs; tmi_programs,57,30,api/data/cdm/status.php; api/data/review/tmr_tmis.php; api/demand/tmi_programs.php; api/gdt/common.php; api/gdt/programs/activate.php; api/gdt/programs/active.php; api/gdt/programs/cancel.php; api/gdt/programs/create.php; api/gdt/programs/fairness.php; api/gdt/programs/flight_list.php,docs/COMPUTATIONAL_REFERENCE.md; docs/DEPLOYMENT_GUIDE.md; docs/GDT_GS_Transition_Summary_20260110.md; docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/gdt-tmi-workflow-plan.md; docs/plans/2026-02-09-nod-tmi-facility-flows-design.md; docs/plans/2026-02-11-gdt-workflow-enhancement-design.md; docs/plans/2026-02-15-vatcan-interop-design.md
adl_flight_tmi,dbo.adl_flight_tmi,38,4,adl/migrations/core/005_adl_views_seed_data.sql; adl/migrations/core/007_remove_flight_status.sql; adl/migrations/eta/004_fix_sp_CalculateETA.sql; adl/migrations/eta/005_sp_ProcessTrajectoryBatch.sql; adl/migrations/eta/006_fix_batch_proc.sql; adl/migrations/eta/010_eta_batch_consolidation.sql; adl/migrations/eta/011_eta_batch_fix.sql; adl/migrations/oooi/011_airport_connect_reference.sql; adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql,docs/swim/ADL_NORMALIZED_SCHEMA_REFERENCE.md; docs/swim/VATSWIM_Release_Documentation.md; docs/tmi/ARCHITECTURE.md; docs/tmi/DATABASE.md
adl_flight_aircraft,dbo.adl_flight_aircraft,34,2,adl/migrations/core/005_adl_views_seed_data.sql; adl/migrations/core/007_remove_flight_status.sql; adl/migrations/eta/004_fix_sp_CalculateETA.sql; adl/migrations/eta/010_eta_batch_consolidation.sql; adl/migrations/eta/011_eta_batch_fix.sql; adl/migrations/oooi/010_airport_taxi_reference.sql; adl/migrations/oooi/011_airport_connect_reference.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/tmi/002_gs_procedures.sql; adl/migrations/tmi/003_fix_gs_getflights.sql,docs/swim/ADL_NORMALIZED_SCHEMA_REFERENCE.md; docs/swim/VATSWIM_Release_Documentation.md
airport_config,dbo.airport_config,32,0,adl/migrations/079_event_aar_from_config.sql; adl/migrations/079_event_aar_from_flights.sql; adl/migrations/080_airport_config_schema.sql; adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/082_rate_history_schema.sql; adl/migrations/089_atis_weather_columns.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/091_manual_rate_overrides.sql; adl/migrations/092_config_modifiers_schema.sql; adl/migrations/093_config_modifiers_data_migration.sql,
tmi_flight_control,dbo.tmi_flight_control,32,0,api/ctp/flights/assign_edct.php; api/ctp/flights/remove_edct.php; api/gdt/demand/hourly.php; api/gdt/flights/list.php; api/gdt/programs/activate.php; api/gdt/programs/fairness.php; api/gdt/programs/get.php; api/gdt/programs/publish.php; api/gdt/programs/purge.php; api/gdt/programs/reoptimize.php,
