table,code_ref_count,doc_wiki_ref_count
dbo.adl_flight_core,153,12
dbo.adl_flight_plan,109,8
dbo.adl_flight_position,85,5
dbo.adl_flight_times,85,4
dbo.apts,57,5
dbo.tmi_programs,57,5
dbo.adl_flight_tmi,38,4
dbo.adl_flight_aircraft,34,2
dbo.airport_config,32,0
dbo.tmi_flight_control,32,0
dbo.adl_flight_waypoints,30,4
dbo.swim_flights,28,3
dbo.airport_config_runway,23,0
p_plans,23,10
dbo.tmi_entries,22,2
organizations,22,1
dbo.airport_config_rate,21,0
dbo.tmi_slots,21,1
dbo.nav_fixes,20,2
dbo.tmi_reroutes,20,1
playbook_plays,20,9
artcc_boundaries,19,11
dbo.vw_adl_flights,19,2
playbook_routes,19,15
dbo.vatsim_atis,17,0
dbo.adl_boundary,16,0
dbo.adl_flight_trajectory,16,2
dbo.ctp_flight_control,16,0
dbo.ntml,16,2
dbo.tmi_advisories,16,1
tracon_boundaries,16,10
dbo.tmi_events,15,1
sector_boundaries,15,9
dbo.adl_parse_queue,14,2
dbo.adl_flight_changelog,13,1
dbo.aircraft_performance_profiles,13,0
dbo.coded_departure_routes,13,2
dbo.vatusa_event_airport,13,0
p_configs,13,7
user_orgs,13,3
dbo.adl_flight_planned_crossings,12,0
dbo.swim_api_keys,12,3
dbo.vatusa_event,12,0
dbo.adl_zone_events,11,1
dbo.nav_procedures,11,2
dbo.tmi_public_routes,11,1
dbo.vw_airport_config_summary,11,1
playbook_changelog,11,8
dbo.airways,10,1
dbo.atis_config_history,10,0
dbo.flight_phase_snapshot,10,0
dbo.vatusa_event_hourly,10,0
nav_fixes,10,21
dbo.adl_boundary_grid,9,0
dbo.airport_geometry,9,1
dbo.ctp_sessions,9,0
dbo.perti_events,9,1
dbo.swim_audit_log,9,2
p_terminal_init_times,9,3
adl_boundary,8,4
adl_flight_core,8,31
dbo.adl_flight_boundary_log,8,0
dbo.airport_weather_impact,8,0
dbo.airway_segments,8,0
dbo.config_modifier,8,0
dbo.public_routes,8,0
dbo.runway_in_use,8,0
dbo.tmi_flow_providers,8,0
dbo.tmi_proposals,8,1
p_dcc_staffing,8,4
p_enroute_init_times,8,3
p_terminal_init,8,4
airports,7,2
dbo.adl_flights_history,7,0
dbo.playbook_routes,7,1
dbo.tmi_discord_posts,7,1
dbo.tmi_flow_events,7,0
dbo.tmi_reroute_flights,7,1
dbo.tmi_reroute_routes,7,0
dbo.vw_current_runways_in_use,7,0
dbo.weather_alerts,7,0
dbo.wind_grid,7,0
p_enroute_staffing,7,4
p_terminal_staffing,7,4
sua_activations,7,2
dbo.adl_flights_gdp,6,0
dbo.adl_flights_gs,6,0
dbo.flight_stats_job_config,6,0
dbo.tmi_popup_queue,6,0
dbo.tmi_proposal_facilities,6,0
dbo.vw_airport_config_rates,6,1
p_op_goals,6,4
splits_configs,6,6
assigned,5,0
boundary_hierarchy,5,0
dbo.ACD_Data,5,0
dbo.adl_flights,5,0
dbo.adl_region_group,5,0
dbo.adl_tmi_trajectory,5,1
dbo.adl_trajectory_archive,5,2
dbo.airlines,5,0
dbo.airport_geometry_import_log,5,0
dbo.artcc_facilities,5,0
dbo.artcc_tier_group_members,5,0
dbo.ctp_audit_log,5,1
dbo.facility_tier_config_members,5,0
dbo.facility_tier_configs,5,0
dbo.flight_stats_airport,5,0
dbo.flight_stats_hourly,5,0
dbo.gdp_log,5,0
dbo.ntml_info,5,1
p_enroute_constraints,5,3
p_enroute_init,5,4
p_group_flights,5,3
p_terminal_constraints,5,3
boundary_adjacency,4,2
dbo.adl_archive_config,4,0
dbo.adl_archive_log,4,1
dbo.adl_flight_archive,4,0
dbo.adl_flight_weather_impact,4,0
dbo.adl_region_airports,4,0
