table,code_file
NEW.parent_artcc,database/migrations/postgis/003_airports_table.sql
NEW.parent_tracon,database/migrations/postgis/003_airports_table.sql
Statsim.net,adl/migrations/stats/005_vatusa_event_stats.sql
VATSIM_ADL.apts,scripts/refdata_sync_daemon.php
adl_boundary,adl/migrations/boundaries/001_boundaries_schema.sql
adl_boundary,adl/migrations/boundaries/003_boundary_import_procedure.sql
adl_boundary,adl/migrations/boundaries/008_boundary_optimization.sql
adl_boundary,adl/migrations/boundaries/011_artcc_hierarchy.sql
adl_boundary,adl/migrations/boundaries/012_boundary_hierarchy.sql
adl_boundary,adl/php/import_boundaries.php
adl_boundary,api/adl/boundaries.php
adl_boundary,api/adl/import_boundaries.php
adl_boundary_grid,adl/migrations/boundaries/009_boundary_grid_lookup.sql
adl_boundary_grid,adl/migrations/boundaries/009b_populate_all_boundary_grids.sql
adl_boundary_import_log,api/adl/import_boundaries.php
adl_flight_boundary_log,adl/migrations/boundaries/003_boundary_import_procedure.sql
adl_flight_core,adl/analysis/eta_wind_accuracy_analysis.sql
adl_flight_core,adl/analysis/eta_wind_accuracy_report.php
adl_flight_core,adl/migrations/boundaries/001_boundaries_schema.sql
adl_flight_core,adl/migrations/boundaries/003_boundary_import_procedure.sql
adl_flight_core,adl/migrations/boundaries/007_integrate_boundary_detection.sql
adl_flight_core,adl/migrations/core/007_remove_flight_status.sql
adl_flight_core,api/adl/boundaries.php
adl_flight_core,api/analysis/tmi_compliance.php
airports,database/migrations/postgis/002_extended_functions.sql
airports,database/migrations/postgis/003_airports_table.sql
airports,database/migrations/postgis/004_fix_disambiguation.sql
airports,database/migrations/postgis/route_analysis_function.sql
airports,scripts/postgis/004_route_expansion_functions.sql
airports,scripts/postgis/016_hierarchy_filter_functions.sql
airports,status.php
analog_similarity_matrix,database/migrations/vatsim_stats/001_complete_schema.sql
artcc_boundaries,database/migrations/postgis/001_boundaries_schema.sql
artcc_boundaries,database/migrations/postgis/002_extended_functions.sql
artcc_boundaries,database/migrations/postgis/003_airports_table.sql
artcc_boundaries,database/migrations/postgis/ctp_oceanic_validation.sql
artcc_boundaries,database/migrations/postgis/route_analysis_function.sql
artcc_boundaries,load/services/GISService.php
artcc_boundaries,scripts/postgis/004_route_expansion_functions.sql
artcc_boundaries,scripts/postgis/006_batch_boundary_detection.sql
artcc_boundaries,scripts/postgis/007_batch_sector_detection.sql
artcc_boundaries,scripts/postgis/008_trajectory_crossings.sql
