api_file,connection_symbol,table
api/adl/AdlQueryHelper.php,,ADL_QUERY_SOURCE
api/adl/AdlQueryHelper.php,,Combined
api/adl/AdlQueryHelper.php,,TopCarriers
api/adl/AdlQueryHelper.php,,TopDPs
api/adl/AdlQueryHelper.php,,TopEquipment
api/adl/AdlQueryHelper.php,,TopFixes
api/adl/AdlQueryHelper.php,,TopSTARs
api/adl/AdlQueryHelper.php,,callsign
api/adl/AdlQueryHelper.php,,config
api/adl/AdlQueryHelper.php,,dbo.adl_flight_aircraft
api/adl/AdlQueryHelper.php,,dbo.adl_flight_core
api/adl/AdlQueryHelper.php,,dbo.adl_flight_plan
api/adl/AdlQueryHelper.php,,dbo.adl_flight_position
api/adl/AdlQueryHelper.php,,dbo.adl_flight_times
api/adl/AdlQueryHelper.php,,dbo.adl_flight_tmi
api/adl/AdlQueryHelper.php,,dbo.apts
api/adl/AdlQueryHelper.php,,dbo.ntml
api/adl/AdlQueryHelper.php,,dbo.vw_adl_flights
api/adl/AdlQueryHelper.php,,flight_classifications
api/adl/AdlQueryHelper.php,,not
api/adl/AdlQueryHelper.php,,of
api/adl/AdlQueryHelper.php,,origin
api/adl/AdlQueryHelper.php,,timestamp
api/adl/airway.php,get_conn_gis,airway_segments
api/adl/airway.php,get_conn_gis,dbo.airway_segments
api/adl/airway.php,get_conn_gis,dbo.airways
api/adl/airway.php,get_conn_gis,name
api/adl/airway.php,get_conn_gis,point
api/adl/airway.php,get_conn_ref,airway_segments
api/adl/airway.php,get_conn_ref,dbo.airway_segments
api/adl/airway.php,get_conn_ref,dbo.airways
api/adl/airway.php,get_conn_ref,name
api/adl/airway.php,get_conn_ref,point
api/adl/atis-debug.php,,dbo.vatsim_atis
api/adl/boundaries.php,,adl_boundary
api/adl/boundaries.php,,adl_flight_core
api/adl/boundaries.php,,adl_flight_position
api/adl/boundaries.php,,boundary_hierarchy
api/adl/boundaries.php,,hierarchy_cte
api/adl/cleanup-queue.php,,dbo.adl_flight_core
api/adl/cleanup-queue.php,,dbo.adl_parse_queue
api/adl/current.php,,SQL
api/adl/current.php,,the
api/adl/demand/airway.php,,dbo.fn_AirwaySegmentDemand
api/adl/demand/batch.php,,BucketCounts
api/adl/demand/batch.php,,FixSequences
api/adl/demand/batch.php,,FlightEntryTimes
api/adl/demand/batch.php,,FlightOnAirway
api/adl/demand/batch.php,,FlightWithBothFixes
api/adl/demand/batch.php,,FlightsWithBothFixes
api/adl/demand/batch.php,,MatchingFlights
api/adl/demand/batch.php,,TimeBounds
api/adl/demand/batch.php,,actual
api/adl/demand/batch.php,,airway_segments
api/adl/demand/batch.php,,dbo.adl_flight_core
api/adl/demand/batch.php,,dbo.adl_flight_plan
api/adl/demand/batch.php,,dbo.adl_flight_times
api/adl/demand/batch.php,,dbo.adl_flight_waypoints
api/adl/demand/batch.php,,dbo.airway_segments
api/adl/demand/batch.php,,dbo.fn_AirwayDemandBucketed
api/adl/demand/batch.php,,dbo.fn_AirwaySegmentDemandBucketed
api/adl/demand/batch.php,,dbo.fn_BatchDemandBucketed
api/adl/demand/batch.php,,dbo.fn_ViaDemandBucketed
api/adl/demand/batch.php,,dbo.nav_fixes
api/adl/demand/batch.php,,fix
api/adl/demand/batch.php,,nav_fixes
api/adl/demand/batch.php,,segments
api/adl/demand/batch.php,,those
api/adl/demand/batch.php,,time
api/adl/demand/debug.php,,dbo.adl_flight_core
api/adl/demand/debug.php,,dbo.adl_flight_plan
api/adl/demand/debug.php,,dbo.adl_flight_waypoints
api/adl/demand/details.php,,AirwayFlights
api/adl/demand/details.php,,FlightETAs
api/adl/demand/details.php,,FlightsWithBothFixes
api/adl/demand/details.php,,SQL
api/adl/demand/details.php,,dbo.adl_flight_core
api/adl/demand/details.php,,dbo.adl_flight_plan
api/adl/demand/details.php,,dbo.adl_flight_waypoints
api/adl/demand/details.php,,fix
api/adl/demand/details.php,,optional
api/adl/demand/fix.php,,dbo.fn_FixDemand
api/adl/demand/monitors.php,,dbo.demand_monitors
api/adl/demand/monitors.php,,definition
api/adl/demand/monitors.php,,type
api/adl/demand/segment.php,,dbo.fn_RouteSegmentDemand
api/adl/diagnose.php,,dbo.adl_flight_aircraft
api/adl/diagnose.php,,dbo.adl_flight_core
api/adl/diagnose.php,,dbo.adl_flight_plan
api/adl/diagnose.php,,dbo.adl_flight_position
api/adl/diagnose.php,,dbo.adl_flight_times
api/adl/diagnose.php,,dbo.adl_flight_waypoints
api/adl/diagnose.php,,dbo.vatsim_atis
api/adl/diagnose.php,,sys.objects
api/adl/diagnose.php,,sys.tables
api/adl/diagnose.php,,time
api/adl/diagnostic.php,,adl_run_log
api/adl/diagnostic.php,,dbo.adl_parse_queue
api/adl/diagnostic.php,,dbo.adl_run_log
api/adl/diagnostic.php,,dbo.vatsim_atis
api/adl/diagnostic.php,,dbo.vw_adl_flights
api/adl/diagnostic.php,,flights
api/adl/flight.php,,ADL
api/adl/import_boundaries.php,,a
api/adl/import_boundaries.php,,adl_boundary
api/adl/import_boundaries.php,,adl_boundary_import_log
api/adl/import_boundaries.php,,all
api/adl/import_boundaries.php,,boundary_hierarchy
api/adl/import_boundaries.php,,classification
api/adl/import_boundaries.php,,enriched
api/adl/import_boundaries.php,,sys.tables
api/adl/ingest.php,,VATSIM
