table,code_ref_count,doc_wiki_ref_count,sample_code_refs,sample_doc_wiki_refs
AAR,2,0,adl/migrations/079_event_aar_from_flights.sql; assets/js/demand.js,
ACARS,5,0,database/migrations/swim/005_swim_add_telemetry_columns.sql; integrations/virtual-airlines/phpvms7/Config/config.php; integrations/virtual-airlines/phpvms7/Services/PirepTransformer.php; load/swim_config.php; swim.php,
ADL,36,0,adl/php/boundary_daemon.php; adl/php/boundary_gis_daemon.php; adl/php/parse_queue_gis_daemon.php; adl/php/waypoint_eta_daemon.php; adl/scripts/migrate_ref_data.py; api/adl/flight.php; api/adl/waypoints.php; api/analysis/tmi_compliance.php; api/ctp/flights/compliance.php; api/ctp/flights/get.php,
ADL_QUERY_SOURCE,1,0,api/adl/AdlQueryHelper.php,
ADR,1,0,assets/js/demand.js,
ADVISORY,1,0,assets/js/public-routes.js,
ADVZY,3,0,scripts/tmi/advzy_parser.php; scripts/tmi_compliance/core/ntml_parser.py; scripts/tmi_compliance/run.py,
AIRAC,1,0,airac_full_update.py,
AIXM,1,0,api/data/sua.php,
ALL,3,0,database/migrations/org/009_add_global_organization.sql; load/org_context.php; scripts/tmi_compliance/core/analyzer.py,
AOC,1,0,api/swim/v1/ingest/adl.php,
API,25,0,api/ctp/sessions/update.php; assets/js/config/rate-colors.js; assets/js/demand.js; assets/js/nod-demand-layer.js; assets/js/nod.js; assets/js/plan.js; assets/js/playbook.js; assets/js/public-routes.js; assets/js/route-maplibre.js; assets/js/tmi-active-display.js,
APPROACH,1,0,assets/js/tmi_compliance.js,
ARR,1,0,adl/migrations/094_fix_stale_atis_combination.sql,
ARTCC,9,0,adl/migrations/boundaries/001_boundaries_schema.sql; api/gdt/programs/model.php; api/splits/index.php; assets/js/demand.js; assets/js/facility-hierarchy.js; assets/js/fir-integration.js; assets/js/gdt.js; assets/js/lib/perti.js; assets/js/route-maplibre.js,
ARTCCEntries,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
ARTCCS,1,0,assets/js/facility-hierarchy.js,
ARTCCStats,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
ASPM77,1,0,adl/migrations/088_airport_groupings_aspm82_opsnet45.sql,
ASPM82,1,0,adl/migrations/088_airport_groupings_aspm82_opsnet45.sql,
ASSIGNED,1,0,database/migrations/tmi/037_gdp_phase1_fix_and_wire.sql,
ATC,1,0,scripts/playbook/import_atc_zero.php,
ATCSCC,1,0,scripts/import_rw_rates.php,
ATIS,13,0,adl/migrations/079_event_aar_from_config.sql; adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/085_atis_runway_schema.sql; adl/migrations/089_atis_weather_columns.sql; adl/migrations/090_detected_runway_config.sql; assets/js/demand.js; demand.php; integrations/vatis/src/ATISMonitor.php; integrations/vatis/src/RunwayCorrelator.php; integrations/vatis/src/WeatherExtractor.php,
ATL,1,0,scripts/tmi/test_ntml_parser.php,
AVERAGE,1,0,adl/migrations/stats/011_extended_analytics.sql,
AWC,3,0,adl/php/import_weather_alerts.php; api/data/sigmets.php; api/weather/refresh.php,
ActiveEvents,1,0,database/migrations/adl/013_compute_tmi_tier.sql,
ActualData,1,0,api/analysis/trajectory_gaps.php,
AdjacentArtccs,1,0,database/migrations/adl/013_compute_tmi_tier.sql,
AdvisoryConfig,1,0,assets/js/tmi-publish.js,
AircraftCounts,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
AircraftJson,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
AircraftTypes,1,0,adl/migrations/stats/004_flight_stats_carrier_domestic.sql,
AirlineCounts,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
Airport,1,0,adl/migrations/079_event_aar_from_config.sql,
AirwayFlights,2,0,adl/migrations/demand/007_fn_AirwayDemandBucketed.sql; api/adl/demand/details.php,
AllAirports,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
AllDemand,1,0,adl/migrations/demand/005_fn_BatchDemandBucketed.sql,
AllTRACONs,1,0,adl/migrations/stats/006_airport_groupings.sql,
AllTrajectory,1,0,database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql,
Approach,1,0,scripts/classify_boundary_hierarchy.py,
Arkansas,1,0,scripts/tmi_compliance/core/analyzer.py,
ArrCounts,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
ArrPercentiles,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
ArrStatsBase,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
ArrivedFlights,5,0,api/adl/timing-analysis.php; scripts/backfill_ata_utc.sql; scripts/eta_accuracy_diagnostic.sql; scripts/eta_accuracy_report.sql; scripts/timing_accuracy_analysis.sql,
AtisAvailability,1,0,adl/migrations/095_atis_type_priority.sql,
Automatically,1,0,scripts/statsim/daily_event_update.py,
AvA,2,0,scripts/statsim/074_vatusa_event_import.sql; scripts/statsim/074_vatusa_event_import_1_events.sql,
Aviation,1,0,adl/php/import_weather_alerts.php,
