table,code_ref_count,doc_ref_count,sample_code_refs,sample_doc_refs
.env,1,0,discord-bot/bot.js,
.models,0,2,,docs/plans/2026-02-07-gs-reroute-implementation-plan.md; docs/plans/2026-02-16-holding-detection.md
001_boundaries_schema.sql,2,0,scripts/postgis/006_batch_boundary_detection.sql; scripts/postgis/016_hierarchy_filter_functions.sql,
002_artcc_topology_seed.sql,2,0,api/gis/boundaries.php; scripts/postgis/011_validate_tiers.sql,
002_extended_functions.sql,1,0,scripts/postgis/016_hierarchy_filter_functions.sql,
003_swim_api_database_fixed.sql,0,1,,docs/swim/SWIM_Session_Transition_20260116_AOCTelemetry.md
004_route_expansion_functions.sql,1,0,scripts/postgis/016_hierarchy_filter_functions.sql,
006_airport_groupings.sql,0,1,,docs/plans/2026-02-08-airport-groupings-implementation.md
008_apts_military_columns.sql,0,1,,docs/plans/2026-02-08-airport-groupings-implementation.md
008_trajectory_crossings.sql,1,0,scripts/postgis/016_hierarchy_filter_functions.sql,
009_tracon_crossings.sql,1,0,scripts/postgis/016_hierarchy_filter_functions.sql,
015,1,0,database/migrations/adl/016_tmi_trajectory_view_v2.sql,
04R,1,0,adl/migrations/093c_fix_edge_case_runway_ids.sql,
04R_OVHD_29,1,0,adl/migrations/093c_fix_edge_case_runway_ids.sql,
087_atis_tiered_cleanup.sql,0,1,,docs/plans/2026-02-08-airport-groupings-implementation.md
12,2,0,adl/migrations/stats/012b_backfill_phase_snapshots.sql; adl/migrations/stats/012c_rebackfill_snapshots.sql,
120px,0,1,,docs/tmi/TMI_Coordination_Session_20260128.md
13,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
14,1,1,transparency.php,docs/COMPUTATIONAL_REFERENCE.md
14.4,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
15,1,1,adl/migrations/093c_fix_edge_case_runway_ids.sql,docs/COMPUTATIONAL_REFERENCE.md
150,1,0,scripts/vatsim_adl_daemon.php,
16,0,1,,docs/PERFORMANCE_OPTIMIZATION.md
1643ms,0,1,,docs/COMPUTATIONAL_REFERENCE.md
180,2,0,adl/migrations/navdata/009_wind_data_infrastructure.sql; adl/migrations/stats/004_flight_stats_trends.sql,
2.0,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
20,1,0,CODE_INCONSISTENCIES_EXPLAINED.md,
2000,1,0,scripts/vatsim_adl_daemon.php,
2000Z,1,0,scripts/tmi/import_historical_test.php,
200m,1,0,adl/oooi_enhanced_design_v2.1.md,
2020,1,1,scripts/tmi/IMPORT_HISTORICAL_README.md,wiki/TMI-Historical-Import-Statistics.md
207,0,1,,wiki/TMI-Historical-Import-Statistics.md
24,0,1,,docs/scaling/COST_OPTIMIZATION.md
24h,1,0,database/migrations/swim/020_swim_acars_messages.sql,
270,1,1,adl/migrations/wind/001_wind_grid_schema.sql,docs/AZURE_COST_OPTIMIZATION_ANALYSIS.md
30,2,1,api/gdt/programs/revise.php; scripts/vatsim_adl_daemon.php,docs/plans/2026-02-11-gdt-workflow-enhancement-design.md
3000,1,0,scripts/swim_sync.php,
30000ms,1,0,CODE_INCONSISTENCIES_EXPLAINED.md,
32,1,0,adl/migrations/091_manual_rate_overrides.sql,
360,1,0,adl/migrations/navdata/009_wind_data_infrastructure.sql,
37.7,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
5.1,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
500m,1,0,adl/oooi_enhanced_design_v2.1.md,
500ms,0,1,,docs/swim/SWIM_Phase2_Phase3_Transition.md
50nm,1,0,adl/procedures/sp_Adl_RefreshFromVatsim_Normalized.sql,
53,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
65.9,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
67.2,0,1,,docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md
70px,0,1,,docs/plans/2026-02-02-demand-chart-ui-design.md
71,0,1,,docs/plans/2026-02-08-airport-groupings-design.md
80,1,0,adl/migrations/oooi/006_zone_detection_arrival_fix.sql,
800m,1,0,adl/oooi_enhanced_design_v2.1.md,
90,4,0,adl/migrations/navdata/009_wind_data_infrastructure.sql; adl/migrations/oooi/010_airport_taxi_reference.sql; adl/migrations/oooi/011_airport_connect_reference.sql; database/migrations/vatsim_stats/001_complete_schema.sql,
AAR,2,0,adl/migrations/079_event_aar_from_flights.sql; assets/js/demand.js,
ACARS,5,3,database/migrations/swim/005_swim_add_telemetry_columns.sql; integrations/virtual-airlines/phpvms7/Config/config.php; integrations/virtual-airlines/phpvms7/Services/PirepTransformer.php; load/swim_config.php; swim.php,docs/swim/SWIM_Session_Transition_20260116_AOCTelemetry.md; docs/swim/VATSWIM_Announcement.md; docs/swim/VATSWIM_Release_Documentation.md
ACCEPT_EULA,0,1,,docs/DEPLOYMENT_GUIDE.md
ADL,36,15,GDT_Unified_Design_Document_v1.1.md; adl/NAVDATA_IMPORT.md; adl/php/boundary_daemon.php; adl/php/boundary_gis_daemon.php; adl/php/parse_queue_gis_daemon.php; adl/php/waypoint_eta_daemon.php; api/adl/flight.php; api/adl/waypoints.php,docs/COMPUTATIONAL_REFERENCE.md; docs/HIBERNATION_RUNBOOK.md; docs/fmds-comparison.md; docs/plans/2026-02-08-airport-groupings-implementation.md; docs/swim/ACARS_VATSWIM_Integration.md; docs/swim/Claude_VATSWIM_Implementation_Prompt_2026-03-14.md; docs/swim/SWIM_Session_Transition_20260116.md; docs/swim/SWIM_Session_Transition_20260116_Phase1Complete.md
ADL_QUERY_SOURCE,1,0,api/adl/AdlQueryHelper.php,
ADR,1,0,assets/js/demand.js,
ADS,1,0,scripts/openap/README.md,
ADVISORY,1,0,assets/js/public-routes.js,
ADVZY,1,3,scripts/tmi/advzy_parser.php,docs/plans/2026-02-07-gs-reroute-compliance-design.md; docs/plans/2026-02-07-gs-reroute-implementation-plan.md; wiki/TMI-Historical-Import-Statistics.md
ADVZY_2020.txt,0,1,,docs/TMIDiscord_Formatting_Transition_v3.2.md
AIRAC,0,1,,wiki/AIRAC-Update.md
AIRBORNE,0,1,,wiki/Algorithm-Zone-Detection.md
AIRPORT_GROUPS,0,2,,docs/plans/2026-02-08-airport-groupings-design.md; docs/plans/2026-02-08-airport-groupings-implementation.md
AIXM,1,0,api/data/sua.php,
ALL,2,0,database/migrations/org/009_add_global_organization.sql; load/org_context.php,
AND,1,0,adl/procedures/sp_TriggerCrossingRecalc.sql,
AOC,1,1,api/swim/v1/ingest/adl.php,docs/swim/SWIM_Session_Transition_20260116_AOCTelemetry.md
API,28,8,NAMING_CONVENTIONS.md; PERTI_MIGRATION_TRACKER.md; api/ctp/sessions/update.php; assets/js/config/rate-colors.js; assets/js/demand.js; assets/js/nod-demand-layer.js; assets/js/nod.js; assets/js/plan.js,docs/plans/2026-02-08-airport-groupings-implementation.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/refs/codebase-globalization.md; docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md; docs/swim/SWIM_Session_Transition_20260116.md; docs/swim/VATSWIM_Design_Document_v1.md; docs/tmi/ARCHITECTURE.md; docs/tmi/TMI_Publisher_v1.8.0_Transition.md
APPROACH,1,0,assets/js/tmi_compliance.js,
ARR,1,0,adl/migrations/094_fix_stale_atis_combination.sql,
ARTCC,10,1,PERTI_MIGRATION_TRACKER.md; adl/migrations/boundaries/001_boundaries_schema.sql; api/gdt/programs/model.php; api/splits/index.php; assets/js/demand.js; assets/js/facility-hierarchy.js; assets/js/fir-integration.js; assets/js/gdt.js,docs/plans/2026-02-02-perti-namespace-design.md
ARTCCEntries,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
ARTCCS,1,0,assets/js/facility-hierarchy.js,
ARTCCStats,1,0,adl/migrations/stats/002_flight_stats_procedures.sql,
AS,7,0,adl/migrations/changelog/000_deploy_changelog_system.sql; adl/migrations/changelog/005_trigger_aircraft_tmi.sql; database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql; database/migrations/tmi/001_create_tmi_programs.sql; database/migrations/tmi/002_create_tmi_slots.sql; database/migrations/tmi/003_create_tmi_flight_control.sql; database/migrations/tmi/045_ctp_oceanic_schema.sql,
ASPM,0,1,,docs/plans/2026-02-08-airport-groupings-implementation.md
