code,facility,select,departureFacilitiesIncluded
ALL,,(ALL),ZAB ZAU ZBW ZDC ZDV ZFW ZHU ZID ZJX ZKC ZLA ZLC ZMA ZME ZMP ZNY ZOA ZOB ZSE ZTL
ALL+Canada,,(ALL+Canada),ZAB ZAU ZBW ZDC ZDV ZFW ZHU ZID ZJX ZKC ZLA ZLC ZMA ZME ZMP ZNY ZOA ZOB ZSE ZTL CZE CZM CZU CZV CZW CZY CZX
Manual,,(Manual),
ZAB1,ZAB,(1stTier),ZAB ZLA ZDV ZKC ZFW ZHU
ZAB10W,ZAB,(10West),ZAB ZDV ZFW ZHU ZKC ZLA ZLC ZMP ZOA ZSE
ZAB12W,ZAB,(12West),ZAB ZAU ZDV ZFW ZHU ZKC ZLA ZLC ZME ZMP ZOA ZSE
ZAB2,ZAB,(2ndTier),ZAB ZLA ZDV ZKC ZFW ZHU ZOA ZLC ZMP ZAU ZID ZME ZTL ZJX
ZAB6W,ZAB,(6West),ZLA ZLC ZDV ZOA ZAB ZSE
ZABI,ZAB,(Internal),ZAB
ZAU1,ZAU,(1stTier),ZAU ZMP ZKC ZID ZOB
ZAU12W,ZAU,(12West),ZAB ZAU ZDV ZFW ZHU ZKC ZLA ZLC ZME ZMP ZOA ZSE
ZAU2,ZAU,(2ndTier),ZAU ZMP ZKC ZID ZOB ZLC ZDV ZAB ZFW ZME ZTL ZDC ZNY ZBW
ZAUI,ZAU,(Internal),ZAU
ZBW1,ZBW,(1stTier),ZBW ZDC ZNY ZOB
ZBW1C,ZBW,(1stTier+Canada),ZBW ZDC ZNY ZOB CYYZ CYOW CYUL
ZBW2,ZBW,(2ndTier),ZBW ZDC ZNY ZOB ZMP ZAU ZID ZTL ZJX
ZBWEC,ZBW,(EastCoast),ZBW ZNY ZDC ZJX ZMA
ZBWI,ZBW,(Internal),ZBW
ZDC1,ZDC,(1stTier),ZDC ZBW ZNY ZOB ZID ZTL ZJX
ZDC2,ZDC,(2ndTier),ZDC ZBW ZNY ZOB ZID ZTL ZJX ZMA ZHU ZME ZKC ZAU ZMP
ZDCEC,ZDC,(EastCoast),ZBW ZNY ZDC ZJX ZMA
ZDCI,ZDC,(Internal),ZDC
ZDV1,ZDV,(1stTier),ZDV ZLC ZLA ZAB ZMP ZKC
ZDV10W,ZDV,(10West),ZAB ZDV ZFW ZHU ZKC ZLA ZLC ZMP ZOA ZSE
ZDV12W,ZDV,(12West),ZAB ZAU ZDV ZFW ZHU ZKC ZLA ZLC ZME ZMP ZOA ZSE
ZDV2,ZDV,(2ndTier),ZDV ZLC ZLA ZAB ZMP ZKC ZSE ZOA ZFW ZME ZHU ZID ZOB ZAU
ZDV6W,ZDV,(6West),ZLA ZLC ZDV ZOA ZAB ZSE
ZDVI,ZDV,(Internal),ZDV
ZFW1,ZFW,(1stTier),ZFW ZME ZKC ZAB ZHU
ZFW10W,ZFW,(10West),ZAB ZDV ZFW ZHU ZKC ZLA ZLC ZMP ZOA ZSE
ZFW12W,ZFW,(12West),ZAB ZAU ZDV ZFW ZHU ZKC ZLA ZLC ZME ZMP ZOA ZSE
ZFW2,ZFW,(2ndTier),ZFW ZME ZKC ZAB ZHU ZLA ZDV ZMP ZAU ZID ZTL ZJX ZMA
ZFWI,ZFW,(Internal),ZFW
ZHU1,ZHU,(1stTier),ZHU ZAB ZFW ZME ZTL ZJX ZMA
ZHU10W,ZHU,(10West),ZAB ZDV ZFW ZHU ZKC ZLA ZLC ZMP ZOA ZSE
ZHU12W,ZHU,(12West),ZAB ZAU ZDV ZFW ZHU ZKC ZLA ZLC ZME ZMP ZOA ZSE
ZHU2,ZHU,(2ndTier),ZHU ZAB ZFW ZME ZTL ZJX ZMA ZLA ZDV ZKC ZID ZDC
ZHUGULF,ZHU,(Gulf),ZJX ZMA ZHU
ZHUI,ZHU,(Internal),ZHU
ZID1,ZID,(1stTier),ZID ZAU ZOB ZDC ZME ZTL ZKC
ZID2,ZID,(2ndTier),ZID ZAU ZOB ZDC ZME ZTL ZKC ZAB ZDV ZFW ZMP ZHU ZJX ZNY ZBW
ZIDI,ZID,(Internal),ZID
ZJX1,ZJX,(1stTier),ZJX ZMA ZHU ZTL ZDC
ZJX2,ZJX,(2ndTier),ZJX ZMA ZHU ZTL ZDC ZAB ZFW ZME ZID ZOB ZNY ZBW
ZJXEC,ZJX,(EastCoast),ZBW ZNY ZDC ZJX ZMA
ZJXGULF,ZJX,(Gulf),ZJX ZMA ZHU
ZJXI,ZJX,(Internal),ZJX
ZKC1,ZKC,(1stTier),ZKC ZMP ZAU ZID ZME ZFW ZAB ZDV
ZKC10W,ZKC,(10West),ZAB ZDV ZFW ZHU ZKC ZLA ZLC ZMP ZOA ZSE
ZKC12W,ZKC,(12West),ZAB ZAU ZDV ZFW ZHU ZKC ZLA ZLC ZME ZMP ZOA ZSE
ZKC2,ZKC,(2ndTier),ZKC ZMP ZAU ZID ZME ZFW ZAB ZDV ZLC ZLA ZHU ZTL ZDC ZOB
ZKCI,ZKC,(Internal),ZKC
ZLA1,ZLA,(1stTier),ZLA ZLC ZOA ZDV ZAB
