A1,IDOSI BIGEX MAGOG ELATO ANPOG KADLO MKG SWORD WUCHI HOMEI HLG PIDGY APU ANNNA DRAKE AISAR OSTAR AIPOM BULAN IGMON,XP12
A10,PR MITEK YJQ,XP12
A100,ARNAD RIDLA UGZIR ENILO SARZI AMEPU ROS KL,XP12
A100_old_2603_changed,KL ROS AMEPU SARZI ENILO UGZIR RIDLA ARNAD,NASR
A102,BABUR UP OLINU SUFOR BAKAM NEPUT OBETI KA ABLOG KL ODRIB NALEM,XP12
A102_old_2603_changed,NALEM ODRIB KL ABLOG KA OBETI NEPUT BAKAM SUFOR OLINU UP BABUR,NASR
A103,PF BITBI AMEMA SX DBE OKTAB PINAX,XP12
A103_old_2603_changed,PESEN UDALU,NASR
A107,KYLOB NAVOX ABNAR DBE PR SOPNO,XP12
A114,MOSOM OLRAM,XP12
A117,ASB URABA DUTAR LBA,XP12
A117_old_2603_changed,LBA DUTAR URABA ASB,NASR
A118,ABDAN TENGA VATIN LBA CHARD,XP12
A120,PIGUR DEMUP OLEMI UNISO,XP12
A122,EKTEN INRIS URL,XP12
A122_old_2603_changed,URL INRIS EKTEN,NASR
A125,ABNEP RARUN RINAT NINOP BELUG KEMOR ASB,XP12
A14,KAVOS GUDIS SIT XAVIS ALIKI MIL ALANI EKTOS TRL ARA SOTEG ROTSA NIDRI MALED KRK,XP12
A145,LORNO RESPA BERAP ANEPI TRL,XP12
A145_old_2603_changed,TRL ANEPI BERAP RESPA LORNO,NASR
A14_old_2603_changed,KRK MALED NIDRI ROTSA SOTEG ARA TRL EKTOS ALANI MIL ALIKI XAVIS SIT GUDIS KAVOS,NASR
A16,CVO MERPI DEGDI BLT MELDO RASDA MAROS PEDER DASNI TOMBI DERYA AYT KUMRU ELMAS EKSEN LEMDA KFK,XP12
A16_old_2603_changed,FENER VADEN,NASR
A17,GAZ BOYAT ASBOM POGEN REMPO RATSI SOLSA ERHAN KISLA BELSU BALAX YUCEL BAG KIZIK YAVRU NAMAN RIXEN,XP12
A17_old_2603_changed,RIXEN NAMAN YAVRU KIZIK BAG YUCEL BALAX BELSU KISLA ERHAN SOLSA RATSI REMPO POGEN ASBOM BOYAT GAZ,NASR
A18,KDR RYHAN TAWUS,XP12
A180,LUMIG REGBI BESUK MULME KRN ULMAS GISOP GEKTA SONEK NESUM OBESU AKATA LASEB OLDEP,XP12
A18_old_2603_changed,DERJE FUNGI,NASR
A1_old_2603_changed,KEC ALBAT HALON JAKAL GREEN SUC FENIX JINGU HKC KAZAN KOSHI JEDAI RUSAR AKVAS URUMA SAPET,NASR
A2,BRY OKRIX AVLON CACHI PIBAT AMORO BUSIL DANBO BARAN GIRED RUBLO LTP,XP12
A201,LKN BODOG PPT MONDA BIKIK TEBID RAJ BOGEP AAT TEBUL ANSOS LSO,XP12
A202,RAMEI GUROK OKENA SAV ENBIL VILAO DONGI NIVEN XONUS ASSAD NONEM DABUB AGPOR SAMAS,XP12
A202_old_2603_changed,BIGEX SIKOU,NASR
A203,KC BEGIM MELOM,XP12
A203_old_2603_changed,MELOM BEGIM KC,NASR
A204,AKSUN ORISU RSE LEDAX YOROI,XP12
A204_old_2603_changed,YOROI LEDAX RSE ORISU AKSUN,NASR
A206,ASSAD HATIN BUVAN KADIM VIN NALAO NOHET LPB,XP12
A206_old_2603_changed,LPB NOHET NALAO VIN KADIM BUVAN HATIN ASSAD,NASR
A211,MWB DIANI GARUT ARIRU TRK BAXAL VTW,XP12
A212,NU GUGET TUT MIGIS PUPIS,XP12
A212_old_2603_changed,PUPIS MIGIS TUT GUGET NU,NASR
A215,KEVOK MKS EMONA LEBON MKE OSERO ASIXA NOGOT PY,XP12
A216,CS LOCKA MEMIG APUKA KIBAV FACED GALEE HOOVR LOEBB RIDLL OATSS MONPI,NASR
A218,PEMID GONAM ABILA RULOD ASTIT ADALU OSKON LALNA GUBAD TINID,XP12
A218_old_2603_changed,NA KIZON MOLUT ABAGO OKRUS UNLUN BANOT RIPTA,NASR
A220,CINNY MAFIC MANEY AHNDO BINGE CRONN MAEVA MIMAS MUPOD MOMBO MAGBA MIKAT TAF,NASR
A221,CULPS ERTTS MONIE LULJY HEXUG WILLE,NASR
A222,UNZ CLANS AXIDE FIBSS KRONK ADUFO PNI AXTEN UKS STEFF RASON,NASR
A224,VJB ADLOV VMR,XP12
A224_old_2603_changed,VMR ADLOV VJB,NASR
A225,GUKOL DIBRO KA OKNOS TIKNA,XP12
A225_old_2603_changed,TIKNA OKNOS KA DIBRO GUKOL,NASR
A226,ALUMI KUMOK NERKA,XP12
A228,MIKET MASIB ADEGI ENS NERIM MIMLA WD KOLAB DERID PTG,XP12
A229,MEKSI TEBGI ADIMA KUMOD KELOK ROTLI OGANO RO,XP12
A230,DERKI DUTAR,XP12
A231,OMONA MATIL OSMIK PEMAG,XP12
A231_old_2603_changed,PEMAG OSMIK MATIL OMONA,NASR
A233,DUFLE MOZAT ABGAM OKARU,XP12
A238,GALRA IPGED PF ELTOB INBIL JD KYLOB RAMAN,XP12
A24,OTARO ZEM,XP12
A240,KERUL TABAB KRS KESEK,XP12
