ABECLTHV,KABE ETX RAV J64 BURNI TYROO QUARM AIR HVQ LNDIZ PARQR4 KCLT
ABQASESK,KABQ LARGO3 RSK IBSKI SINSY LOYYD SKIER DBL KASE
ABQATLER,KABQ CNX J15 CME BGS SAT Q24 LSU SHYRE HOBTT3 KATL
ABQATLLG,KABQ TCC J6 IRW FSM MEM HUTCC KNSAW RUSSA GLAVN2 KATL
ABQATLNB,KABQ CNX J15 CME J65 ABI J4 FUZ Q184 MERDN ORRKK HOBTT3 KATL
ABQBWICE,KABQ CNX J15 CME FST J86 IAH J2 CEW ALLMA TEEEM Q99 OGRAE GOOOB THHMP RAVNN8 KBWI
ABQBWIFR,KABQ FTI J18 SLN J24 STL ENL IIU ZIEBR SITTR CJAAE RAVNN8 KBWI
ABQBWIJ1,KABQ ALS J13 FQF J128 HCT J60 JOT J30 APE AIR KEMAN ANTHM5 KBWI
ABQBWIJ2,KABQ ALS PUB J64 HLC PWE LMN MZV JOT J30 APE AIR KEMAN ANTHM5 KBWI
ABQBWILL,KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN8 KBWI
ABQBWINA,KABQ TCC J6 IRW FSM MEMFS Q34 SITTR CJAAE RAVNN8 KBWI
ABQBWIPX,KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN8 KBWI
ABQBWIVZ,KABQ MNZNO3 CME J15 INK J4 FUZ UIM ELD IZAAC Q30 VLKNN THRSR KBLER KELLN Q58 PEETT THHMP RAVNN8 KBWI
ABQCVGCV,KABQ FTI J18 GCK DAAVE SARGO4 KCVG
ABQDALBG,KABQ CNX CME FST JCT DITSY BACHR4 KDAL
ABQDALBV,KABQ DOOKK3 TXO TURKI JFRYE5 KDAL
ABQDALVK,KABQ CNX CME BGS BGTOE BACHR4 KDAL
ABQDALWT,KABQ CNX J15 JCT CWK TNV MAJKK REDDN4 KDAL
ABQDENPW,KABQ LARGO3 RSK SHNPS TBARR4 KDEN
ABQDFWBG,KABQ CNX CME FST JCT GUTZZ BOOVE7 KDFW
ABQDFWBV,KABQ DOOKK3 TXO TURKI VKTRY2 KDFW
ABQDFWVK,KABQ CNX CME BGS GEEKY BOOVE7 KDFW
ABQDFWWT,KABQ CNX J15 JCT CWK TNV STUFT BEREE3 KDFW
ABQEGESK,KABQ LARGO3 RSK BUGGG EKR RLG KEGE
ABQGJTSK,KABQ LARGO3 RSK DVC JNC KGJT
ABQHDNSK,KABQ LARGO3 RSK DRO EKR CHE KHDN
ABQHOUDB,KABQ CNX CME BGS JCT SAT BELLR6 KHOU
ABQHOUDS,KABQ CNX J15 JCT SAT BELLR6 KHOU
ABQHOUE2,KABQ CNX J15 JCT SAT BELLR6 KHOU
ABQHOUEA,KABQ CNX CME BGS SJT JCT SAT BELLR6 KHOU
