EFF_DATE,DP_NAME,DP_COMPUTER_CODE,ARTCC,ORIG_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_ORIG_GROUP
11/27/2025,BEAR LAKE,1U71.LUNDI,ZLC,1U7/28|34,PAPIE,,,PAPIE,1U7/28|34 PAPIE
11/27/2025,HOBBY,77S2.EUG,ZSE,77S/34,EUG,,,EUG,77S/34 EUG
11/27/2025,ACCRA,ACCRA5.ACCRA,ZAU,57C/08|26 KBUU/11|29 KENW KETB KHXF/09|27 KMKE/01L|01R|07L|07R|13|19L|19R|25L|25R|31 KMWC/04L|15L|22R|33R KRAC KUES,FANZI-ACCRA,,,FANZI WENUL KAJJY LVENS HHHUL ACCRA,57C/08|26 KBUU/11|29 KENW KETB KHXF/09|27 KMKE/01L|01R|07L|07R|13|19L|19R|25L|25R|31 KMWC/04L|15L|22R|33R KRAC KUES FANZI WENUL KAJJY LVENS HHHUL ACCRA
11/27/2025,ACONY,ACONY3.ACONY,ZSU,TJSJ/08|10|26|28,ACONY-PALDE,ACONY3.SAPPO,SAPPO TRANSITION,ACONY PALDE SAPPO,TJSJ/08|10|26|28 ACONY PALDE SAPPO
11/27/2025,ADAMM,ADAMM3.ADAMM,ZLA,KVNY/16L|16R|34L|34R,ADAMM,,,ADAMM,KVNY/16L|16R|34L|34R ADAMM
11/27/2025,ADELL,ADELL7.ADELL,ZAU,KARR/09|15|18|27|33|36 KDPA/02L|02R|10|15|20L|20R|28|33 KGYY/02|12|20|30 KLOT/02|09|20|27,ACITO-ADELL,ADELL7.AKMIE,AKMIE TRANSITION,ACITO ADELL AKMIE,KARR/09|15|18|27|33|36 KDPA/02L|02R|10|15|20L|20R|28|33 KGYY/02|12|20|30 KLOT/02|09|20|27 ACITO ADELL AKMIE
11/27/2025,ADELL,ADELL7.ADELL,ZAU,KARR/09|15|18|27|33|36 KDPA/02L|02R|10|15|20L|20R|28|33 KGYY/02|12|20|30 KLOT/02|09|20|27,ACITO-ADELL,ADELL7.ARLYN,ARLYN TRANSITION,ACITO ADELL AKMIE ARLYN,KARR/09|15|18|27|33|36 KDPA/02L|02R|10|15|20L|20R|28|33 KGYY/02|12|20|30 KLOT/02|09|20|27 ACITO ADELL AKMIE ARLYN
11/27/2025,ADEXE,ADEXE1.ADEXE,ZLC,KMAN/11,ADEXE,,,ADEXE,KMAN/11 ADEXE
11/27/2025,ADIBE,ADIBE1.ADIBE,ZLC,U34/13|31,ADIBE,,,ADIBE,U34/13|31 ADIBE
11/27/2025,ADYOS,ADYOS3.ADYOS,ZAB,KABQ/26,ABQ-ADYOS,ADYOS3.GUP,GALLUP TRANSITION,ABQ ADYOS BABYY BUSLE GUP,KABQ/26 ABQ ADYOS BABYY BUSLE GUP
11/27/2025,ADYOS,ADYOS3.ADYOS,ZAB,KABQ/21,ASTAH-ADYOS,ADYOS3.GUP,GALLUP TRANSITION,ASTAH LVSTA ADYOS BABYY BUSLE GUP,KABQ/21 ASTAH LVSTA ADYOS BABYY BUSLE GUP
11/27/2025,ADYOS,ADYOS3.ADYOS,ZAB,KABQ/26,ABQ-ADYOS,ADYOS3.ZUN,ZUNI TRANSITION,ABQ ADYOS PNYON ZUN,KABQ/26 ABQ ADYOS PNYON ZUN
11/27/2025,ADYOS,ADYOS3.ADYOS,ZAB,KABQ/21,ASTAH-ADYOS,ADYOS3.ZUN,ZUNI TRANSITION,ASTAH LVSTA ADYOS PNYON ZUN,KABQ/21 ASTAH LVSTA ADYOS PNYON ZUN
11/27/2025,AEROZ,AEROZ2.AEROZ,ZHU,3R9 KAUS KEDC KGTU KHYI KRYW T74,AMUSE-AEROZ,AEROZ2.SJT,SAN ANGELO TRANSITION,AMUSE AEROZ SJT,3R9 KAUS KEDC KGTU KHYI KRYW T74 AMUSE AEROZ SJT
11/27/2025,ALEXANDRIA,AEX3.AEX,ZHU,KAXH/09|27 KCXO KDWH KEFD KGLS/14|18|32|36 KHOU/04|13L|13R|22|31L|31R KIAH KIWS KLBX KSGR/17|35 KTME/18|36 T41/05|12|23|30,RAECN-AEX,AEX3.CEW,CRESTVIEW TRANSITION,RAECN VELCO AEX MCB CEW,KAXH/09|27 KCXO KDWH KEFD KGLS/14|18|32|36 KHOU/04|13L|13R|22|31L|31R KIAH KIWS KLBX KSGR/17|35 KTME/18|36 T41/05|12|23|30 RAECN VELCO AEX MCB CEW
11/27/2025,ALEXANDRIA,AEX3.AEX,ZHU,KAXH/09|27 KCXO KDWH KEFD KGLS/14|18|32|36 KHOU/04|13L|13R|22|31L|31R KIAH KIWS KLBX KSGR/17|35 KTME/18|36 T41/05|12|23|30,RAECN-AEX,AEX3.MCB,MCCOMB TRANSITION,RAECN VELCO AEX MCB,KAXH/09|27 KCXO KDWH KEFD KGLS/14|18|32|36 KHOU/04|13L|13R|22|31L|31R KIAH KIWS KLBX KSGR/17|35 KTME/18|36 T41/05|12|23|30 RAECN VELCO AEX MCB
11/27/2025,AFTON,AFTON4.GIGSE,ZLC,KAFO/34,WOLEN-GIGSE,,,WOLEN FRIDM GIGSE,KAFO/34 WOLEN FRIDM GIGSE
11/27/2025,AGERS,AGERS1.AGERS,ZMA,KFLL/28L|28R,DREDS-AGERS,AGERS1.DUCEN,DUCEN TRANSITION,DREDS SHELZ AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN,KFLL/28L|28R DREDS SHELZ AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN
11/27/2025,AGERS,AGERS1.AGERS,ZMA,KFLL/10L|10R,LLBOW-AGERS,AGERS1.DUCEN,DUCEN TRANSITION,LLBOW ROOOM YOLOO LRICK AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN,KFLL/10L|10R LLBOW ROOOM YOLOO LRICK AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN
11/27/2025,AGERS,AGERS1.AGERS,ZMA,KFLL/28L|28R,DREDS-AGERS,AGERS1.HURGI,HURGI TRANSITION,DREDS SHELZ AGERS HURGI,KFLL/28L|28R DREDS SHELZ AGERS HURGI
11/27/2025,AGERS,AGERS1.AGERS,ZMA,KFLL/10L|10R,LLBOW-AGERS,AGERS1.HURGI,HURGI TRANSITION,LLBOW ROOOM YOLOO LRICK AGERS HURGI,KFLL/10L|10R LLBOW ROOOM YOLOO LRICK AGERS HURGI
11/27/2025,AMEDEE,AHC1.AHC,ZOA,KSVE/11,AHC,,,AHC,KSVE/11 AHC
11/27/2025,AHEHU,AHEHU3.AHEHU,ZLC,KSMN/35,OMIXE-AHEHU,AHEHU3.FANID,FANID TRANSITION,OMIXE AHEHU FANID,KSMN/35 OMIXE AHEHU FANID
11/27/2025,AHEHU,AHEHU3.AHEHU,ZLC,KSMN/35,OMIXE-AHEHU,AHEHU3.FIPFE,FIPFE TRANSITION,OMIXE AHEHU FIPFE,KSMN/35 OMIXE AHEHU FIPFE
11/27/2025,AHMET,AHMET5.KKIDS,ZOB,KBKL/06L|06R|24L|24R KCGF/06|24 KLNN/05|10|23|28 KLPR/07|25,AHMET-KKIDS,AHMET5.EWC,ELLWOOD CITY TRANSITION,AHMET KKIDS ZAVEE EWC,KBKL/06L|06R|24L|24R KCGF/06|24 KLNN/05|10|23|28 KLPR/07|25 AHMET KKIDS ZAVEE EWC
11/27/2025,AHMET,AHMET5.KKIDS,ZOB,KBKL/06L|06R|24L|24R KCGF/06|24 KLNN/05|10|23|28 KLPR/07|25,AHMET-KKIDS,AHMET5.NUSMM,NUSMM TRANSITION,AHMET KKIDS NUSMM,KBKL/06L|06R|24L|24R KCGF/06|24 KLNN/05|10|23|28 KLPR/07|25 AHMET KKIDS NUSMM
11/27/2025,AJOFY,AJOFY1.AJOFY,ZAN,PACJ/32,UWUHI-AJOFY,,,UWUHI AJOFY,PACJ/32 UWUHI AJOFY
11/27/2025,AKIAK,AKIAK1.BET,ZAN,PFAK/03|21,WEEKE-BET,,,WEEKE BET,PFAK/03|21 WEEKE BET
11/27/2025,AKUMY,AKUMY5.AKUMY,ZAN,PAKP/02,MUSDE-AKUMY,,,MUSDE FIIAT INTON BOHNU AGEME AKUMY,PAKP/02 MUSDE FIIAT INTON BOHNU AGEME AKUMY
11/27/2025,AKUNA,AKUNA9.AKUNA,ZFW,KDFW/31L|31R,AKUNA,AKUNA9.MLC,MCALESTER TRANSITION,AKUNA TIKYS MLC,KDFW/31L|31R AKUNA TIKYS MLC
