EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
11/27/2025,BLAID,AALAN.BLAID2,ZLA,KLAS,AALAN-BLAID,BCE.BLAID2,BRYCE CANYON TRANSITION,BCE HOLDM AALAN BLAID,BCE HOLDM AALAN BLAID KLAS
11/27/2025,BLAID,AALAN.BLAID2,ZLA,KLAS,AALAN-BLAID,EHK.BLAID2,ENOCH TRANSITION,EHK HOLDM AALAN BLAID,EHK HOLDM AALAN BLAID KLAS
11/27/2025,BLAID,AALAN.BLAID2,ZLA,KLAS,AALAN-BLAID,PGA.BLAID2,PAGE TRANSITION,PGA HOLDM AALAN BLAID,PGA HOLDM AALAN BLAID KLAS
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/25|26,AALLE-CRUNK,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD CRUNK,BBOTL AALLE HEDDD CRUNK KDEN/25|26
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/35L|35R,AALLE-DOGGG,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD DEELO FULLA FFFAT DOGGG,BBOTL AALLE HEDDD DEELO FULLA FFFAT DOGGG KDEN/35L|35R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/34L|34R,AALLE-HIMOM,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD DEELO JEPHF HAZLT GRILA HIMOM,BBOTL AALLE HEDDD DEELO JEPHF HAZLT GRILA HIMOM KDEN/34L|34R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/07|08,AALLE-HAITR,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD DEELO JEPHF HAZLT HAITR,BBOTL AALLE HEDDD DEELO JEPHF HAZLT HAITR KDEN/07|08
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/16L|16R|17L|17R,AALLE-KIPPR,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD HIGUN KIPPR,BBOTL AALLE HEDDD HIGUN KIPPR KDEN/16L|16R|17L|17R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/25|26,AALLE-CRUNK,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD CRUNK,BIDDR CAASK FOAMM AALLE HEDDD CRUNK KDEN/25|26
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/35L|35R,AALLE-DOGGG,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD DEELO FULLA FFFAT DOGGG,BIDDR CAASK FOAMM AALLE HEDDD DEELO FULLA FFFAT DOGGG KDEN/35L|35R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/34L|34R,AALLE-HIMOM,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT GRILA HIMOM,BIDDR CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT GRILA HIMOM KDEN/34L|34R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/07|08,AALLE-HAITR,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT HAITR,BIDDR CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT HAITR KDEN/07|08
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/16L|16R|17L|17R,AALLE-KIPPR,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD HIGUN KIPPR,BIDDR CAASK FOAMM AALLE HEDDD HIGUN KIPPR KDEN/16L|16R|17L|17R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/25|26,AALLE-CRUNK,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD CRUNK,CAASK FOAMM AALLE HEDDD CRUNK KDEN/25|26
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/35L|35R,AALLE-DOGGG,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD DEELO FULLA FFFAT DOGGG,CAASK FOAMM AALLE HEDDD DEELO FULLA FFFAT DOGGG KDEN/35L|35R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/34L|34R,AALLE-HIMOM,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT GRILA HIMOM,CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT GRILA HIMOM KDEN/34L|34R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/07|08,AALLE-HAITR,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT HAITR,CAASK FOAMM AALLE HEDDD DEELO JEPHF HAZLT HAITR KDEN/07|08
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/16L|16R|17L|17R,AALLE-KIPPR,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD HIGUN KIPPR,CAASK FOAMM AALLE HEDDD HIGUN KIPPR KDEN/16L|16R|17L|17R
11/27/2025,AALLE,AALLE.AALLE4,ZDV,KDEN/25|26,AALLE-CRUNK,FOAMM.AALLE4,FOAMM TRANSITION,FOAMM AALLE HEDDD CRUNK,FOAMM AALLE HEDDD CRUNK KDEN/25|26
