EFF_DATE,DP_NAME,DP_COMPUTER_CODE,ARTCC,ORIG_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_ORIG_GROUP
01/22/2026,ACCRA,ACCRA5.ACCRA,ZAU,57C/08|26 BUU/11|29 ENW ETB HXF/09|27 MKE/01L|01R|07L|07R|13|19L|19R|25L|25R|31 MWC/04L|15L|22R|33R RAC UES,FANZI-ACCRA,,,FANZI WENUL KAJJY LVENS HHHUL ACCRA,57C/08|26 BUU/11|29 ENW ETB HXF/09|27 MKE/01L|01R|07L|07R|13|19L|19R|25L|25R|31 MWC/04L|15L|22R|33R RAC UES FANZI WENUL KAJJY LVENS HHHUL ACCRA
01/22/2026,ACONY,ACONY3.ACONY,ZSU,SJU/08|10|26|28,ACONY-PALDE,ACONY3.SAPPO,SAPPO TRANSITION,ACONY PALDE SAPPO,SJU/08|10|26|28 ACONY PALDE SAPPO
01/22/2026,ADAMM,ADAMM3.ADAMM,ZLA,VNY/16L|16R|34L|34R,ADAMM,,,ADAMM,VNY/16L|16R|34L|34R ADAMM
01/22/2026,ADELL,ADELL7.ADELL,ZAU,ARR/09|15|18|27|33|36 DPA/02L|02R|10|15|20L|20R|28|33 GYY/02|12|20|30 LOT/02|09|20|27,ACITO-ADELL,ADELL7.AKMIE,AKMIE TRANSITION,ACITO ADELL AKMIE,ARR/09|15|18|27|33|36 DPA/02L|02R|10|15|20L|20R|28|33 GYY/02|12|20|30 LOT/02|09|20|27 ACITO ADELL AKMIE
01/22/2026,ADELL,ADELL7.ADELL,ZAU,ARR/09|15|18|27|33|36 DPA/02L|02R|10|15|20L|20R|28|33 GYY/02|12|20|30 LOT/02|09|20|27,ACITO-ADELL,ADELL7.ARLYN,ARLYN TRANSITION,ACITO ADELL AKMIE ARLYN,ARR/09|15|18|27|33|36 DPA/02L|02R|10|15|20L|20R|28|33 GYY/02|12|20|30 LOT/02|09|20|27 ACITO ADELL AKMIE ARLYN
01/22/2026,ADEXE,ADEXE1.ADEXE,ZLC,MAN/11,ADEXE,,,ADEXE,MAN/11 ADEXE
01/22/2026,ADIBE,ADIBE1.ADIBE,ZLC,U34/13|31,ADIBE,,,ADIBE,U34/13|31 ADIBE
01/22/2026,ADYOS,ADYOS3.ADYOS,ZAB,ABQ/26,ABQ-ADYOS,ADYOS3.GUP,GALLUP TRANSITION,ABQ ADYOS BABYY BUSLE GUP,ABQ/26 ABQ ADYOS BABYY BUSLE GUP
01/22/2026,ADYOS,ADYOS3.ADYOS,ZAB,ABQ/26,ABQ-ADYOS,ADYOS3.ZUN,ZUNI TRANSITION,ABQ ADYOS PNYON ZUN,ABQ/26 ABQ ADYOS PNYON ZUN
01/22/2026,ADYOS,ADYOS3.ADYOS,ZAB,ABQ/21,ASTAH-ADYOS,ADYOS3.GUP,GALLUP TRANSITION,ASTAH LVSTA ADYOS BABYY BUSLE GUP,ABQ/21 ASTAH LVSTA ADYOS BABYY BUSLE GUP
01/22/2026,ADYOS,ADYOS3.ADYOS,ZAB,ABQ/21,ASTAH-ADYOS,ADYOS3.ZUN,ZUNI TRANSITION,ASTAH LVSTA ADYOS PNYON ZUN,ABQ/21 ASTAH LVSTA ADYOS PNYON ZUN
01/22/2026,AEROZ,AEROZ2.AEROZ,ZHU,3R9 AUS EDC/13|31 GTU HYI RYW T74,AMUSE-AEROZ,AEROZ2.SJT,SAN ANGELO TRANSITION,AMUSE AEROZ SJT,3R9 AUS EDC/13|31 GTU HYI RYW T74 AMUSE AEROZ SJT
01/22/2026,AFTON,AFTON4.GIGSE,ZLC,AFO/34,WOLEN-GIGSE,,,WOLEN FRIDM GIGSE,AFO/34 WOLEN FRIDM GIGSE
01/22/2026,AGERS,AGERS1.AGERS,ZMA,FLL/28L|28R,DREDS-AGERS,AGERS1.DUCEN,DUCEN TRANSITION,DREDS SHELZ AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN,FLL/28L|28R DREDS SHELZ AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN
01/22/2026,AGERS,AGERS1.AGERS,ZMA,FLL/28L|28R,DREDS-AGERS,AGERS1.HURGI,HURGI TRANSITION,DREDS SHELZ AGERS HURGI,FLL/28L|28R DREDS SHELZ AGERS HURGI
01/22/2026,AGERS,AGERS1.AGERS,ZMA,FLL/10L|10R,LLBOW-AGERS,AGERS1.DUCEN,DUCEN TRANSITION,LLBOW ROOOM YOLOO LRICK AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN,FLL/10L|10R LLBOW ROOOM YOLOO LRICK AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN
01/22/2026,AGERS,AGERS1.AGERS,ZMA,FLL/10L|10R,LLBOW-AGERS,AGERS1.HURGI,HURGI TRANSITION,LLBOW ROOOM YOLOO LRICK AGERS HURGI,FLL/10L|10R LLBOW ROOOM YOLOO LRICK AGERS HURGI
01/22/2026,AHEHU,AHEHU3.AHEHU,ZLC,SMN/35,OMIXE-AHEHU,AHEHU3.FANID,FANID TRANSITION,OMIXE AHEHU FANID,SMN/35 OMIXE AHEHU FANID
01/22/2026,AHEHU,AHEHU3.AHEHU,ZLC,SMN/35,OMIXE-AHEHU,AHEHU3.FIPFE,FIPFE TRANSITION,OMIXE AHEHU FIPFE,SMN/35 OMIXE AHEHU FIPFE
01/22/2026,AHMET,AHMET5.KKIDS,ZOB,BKL/06L|06R|24L|24R CGF/06|24 LNN/05|10|23|28 LPR/07|25,AHMET-KKIDS,AHMET5.EWC,ELLWOOD CITY TRANSITION,AHMET KKIDS ZAVEE EWC,BKL/06L|06R|24L|24R CGF/06|24 LNN/05|10|23|28 LPR/07|25 AHMET KKIDS ZAVEE EWC
01/22/2026,AHMET,AHMET5.KKIDS,ZOB,BKL/06L|06R|24L|24R CGF/06|24 LNN/05|10|23|28 LPR/07|25,AHMET-KKIDS,AHMET5.NUSMM,NUSMM TRANSITION,AHMET KKIDS NUSMM,BKL/06L|06R|24L|24R CGF/06|24 LNN/05|10|23|28 LPR/07|25 AHMET KKIDS NUSMM
01/22/2026,AJOFY,AJOFY1.AJOFY,ZAN,CJX/32,UWUHI-AJOFY,,,UWUHI AJOFY,CJX/32 UWUHI AJOFY
01/22/2026,AKIAK,AKIAK1.BET,ZAN,AKI/03|21,WEEKE-BET,,,WEEKE BET,AKI/03|21 WEEKE BET
01/22/2026,AKUMY,AKUMY5.AKUMY,ZAN,AKP/02,MUSDE-AKUMY,,,MUSDE FIIAT INTON BOHNU AGEME AKUMY,AKP/02 MUSDE FIIAT INTON BOHNU AGEME AKUMY
01/22/2026,AKUNA,AKUNA9.AKUNA,ZFW,DFW/31L|31R,AKUNA,AKUNA9.MLC,MCALESTER TRANSITION,AKUNA TIKYS MLC,DFW/31L|31R AKUNA TIKYS MLC
01/22/2026,AKUNA,AKUNA9.AKUNA,ZFW,DFW/18L|18R,BPARK-AKUNA,AKUNA9.MLC,MCALESTER TRANSITION,BPARK YAMEL FIRMN BINGM BEMMR AKUNA TIKYS MLC,DFW/18L|18R BPARK YAMEL FIRMN BINGM BEMMR AKUNA TIKYS MLC
01/22/2026,AKUNA,AKUNA9.AKUNA,ZFW,DFW/35C|35L,CUZEN-AKUNA,AKUNA9.MLC,MCALESTER TRANSITION,CUZEN ITTTT AKUNA TIKYS MLC,DFW/35C|35L CUZEN ITTTT AKUNA TIKYS MLC
01/22/2026,AKUNA,AKUNA9.AKUNA,ZFW,DFW/36L|36R,HAZKL-AKUNA,AKUNA9.MLC,MCALESTER TRANSITION,HAZKL RYNNE AKUNA TIKYS MLC,DFW/36L|36R HAZKL RYNNE AKUNA TIKYS MLC
01/22/2026,AKUNA,AKUNA9.AKUNA,ZFW,DFW/17C|17R,SPERA-AKUNA,AKUNA9.MLC,MCALESTER TRANSITION,SPERA JGIRL CORTS BIGGD CMORE AKUNA TIKYS MLC,DFW/17C|17R SPERA JGIRL CORTS BIGGD CMORE AKUNA TIKYS MLC
01/22/2026,ALAMO,ALAMO5.ALAMO,ZHU,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32,SAT,ALAMO5.GOBBY,GOBBY TRANSITION,SAT GOBBY,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32 SAT GOBBY
01/22/2026,ALAMO,ALAMO5.ALAMO,ZHU,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32,SAT,ALAMO5.AGJ,GOOCH SPRINGS TRANSITION,SAT GOBBY AGJ,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32 SAT GOBBY AGJ
01/22/2026,ALAMO,ALAMO5.ALAMO,ZHU,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32,SAT,ALAMO5.HENLY,HENLY TRANSITION,SAT HENLY,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32 SAT HENLY
01/22/2026,ALAMO,ALAMO5.ALAMO,ZHU,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32,SAT,ALAMO5.JUMBO,JUMBO TRANSITION,SAT HENLY JUMBO,SAT/04|13L|13R|22|31L|31R SSF/10|14|28|32 SAT HENLY JUMBO
01/22/2026,ALCOS,ALCOS6.ALCOS,ZDV,CPR/03|08|21|26,ALCOS,ALCOS6.CKW,CHEROKEE TRANSITION,ALCOS CKW,CPR/03|08|21|26 ALCOS CKW
01/22/2026,ALCOS,ALCOS6.ALCOS,ZDV,CPR/03|08|21|26,ALCOS,ALCOS6.MBW,MEDICINE BOW TRANSITION,ALCOS MBW,CPR/03|08|21|26 ALCOS MBW
01/22/2026,ALEXANDRIA,AEX3.AEX,ZHU,AXH/09|27 CXO DWH/17R|35L EFD GLS/14|18|32|36 HOU/04|13L|13R|22|31L|31R IAH IWS LBX SGR/17|35 T41/05|12|23|30 TME/18|36,RAECN-AEX,AEX3.CEW,CRESTVIEW TRANSITION,RAECN VELCO AEX MCB CEW,AXH/09|27 CXO DWH/17R|35L EFD GLS/14|18|32|36 HOU/04|13L|13R|22|31L|31R IAH IWS LBX SGR/17|35 T41/05|12|23|30 TME/18|36 RAECN VELCO AEX MCB CEW
