Play,Route String,Origins,Origin_TRACONs,Origin_ARTCCs,Destinations,Dest_TRACONs,Dest_ARTCCs
ABI,ZAU ARG NIIZZ CVE ABI CME.LZZRD4 KABQ,,,ZAU,KABQ,ABQ,ZAB
ABI,ZAU ARG NIIZZ CVE ABI EWM DRRVR.PINNG1 KPHX,,,ZAU,KPHX,P50,ZAB
ABI,ZAU ARG NIIZZ CVE ABI CME J15 ABQ J72 GUP HAHAA.RKSTR4 KLAS,,,ZAU,KLAS,L30,ZLA
ABI,ZAU ARG NIIZZ CVE ABI CME J15 ABQ J6 DRK EED.JANNY5 KBUR,,,ZAU,KBUR,SCT,ZLA
ABI,ZAU ARG NIIZZ CVE ABI EWM J4 WLVRN ESTWD.HLYWD1 KLAX,,,ZAU,KLAX,SCT,ZLA
ABI,ZAU ARG NIIZZ CVE ABI EWM J4 BXK EMLLD.DSNEE6 KLGB,,,ZAU,KLGB,SCT,ZLA
ABI,ZAU ARG NIIZZ CVE ABI EWM J4 SSO J50 GBN J2 HOGGZ.LUCKI1 KSAN,,,ZAU,KSAN,SCT,ZLA
ABI,ZAU ARG NIIZZ CVE ABI EWM J4 BXK EMLLD.DSNEE6 KSNA,,,ZAU,KSNA,SCT,ZLA
ABI,ZAU ARG NIIZZ CVE ABI CME J15 ABQ J6 DRK EED.JANNY5 KVNY,,,ZAU,KVNY,SCT,ZLA
ABI,ZAU ARG NIIZZ CVE ABI CME J15 JNC HELPR.JAZZZ1 KSLC,,,ZAU,KSLC,S56,ZLC
ABI,ZAU ARG NIIZZ CVE ABI CME J15 ABQ J72 BLD J92 BTY RUSME.OAKES3 KOAK,,,ZAU,KOAK,NCT,ZOA
ABI,ZAU ARG NIIZZ CVE ABI CME J15 ABQ J72 BLD J92 BTY RUSME.DYAMD5 KSFO,,,ZAU,KSFO,NCT,ZOA
ABI,ZAU ARG NIIZZ CVE ABI CME J15 ABQ J72 BLD J92 BTY RUSME.RAZRR5 KSJC,,,ZAU,KSJC,NCT,ZOA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME.LZZRD4 KABQ,,,ZBW,KABQ,ABQ,ZAB
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM DRRVR.PINNG1 KPHX,,,ZBW,KPHX,P50,ZAB
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 ABQ J72 GUP HAHAA.RKSTR4 KLAS,,,ZBW,KLAS,L30,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 ABQ J6 DRK EED.JANNY5 KBUR,,,ZBW,KBUR,SCT,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM J4 WLVRN ESTWD.HLYWD1 KLAX,,,ZBW,KLAX,SCT,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM J4 BXK EMLLD.DSNEE6 KLGB,,,ZBW,KLGB,SCT,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM J4 SSO J50 GBN J2 HOGGZ.LUCKI1 KSAN,,,ZBW,KSAN,SCT,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM J4 BXK EMLLD.DSNEE6 KSNA,,,ZBW,KSNA,SCT,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 ABQ J6 DRK EED.JANNY5 KVNY,,,ZBW,KVNY,SCT,ZLA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 JNC HELPR.JAZZZ1 KSLC,,,ZBW,KSLC,S56,ZLC
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 ABQ J72 BLD J92 BTY RUSME.OAKES3 KOAK,,,ZBW,KOAK,NCT,ZOA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 ABQ J72 BLD J92 BTY RUSME.DYAMD5 KSFO,,,ZBW,KSFO,NCT,ZOA
ABI,ZBW BAF Q448 PTW J48 CSN FANPO Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI CME J15 ABQ J72 BLD J92 BTY RUSME.RAZRR5 KSJC,,,ZBW,KSJC,NCT,ZOA
ABI,KORF AWYAT Q52 CHOPZ THRSR VLKNN Q30 IZAAC EIC J4 ABI CME.LZZRD4 KABQ,KORF,ORF,ZDC,KABQ,ABQ,ZAB
ABI,KORF AWYAT Q52 CHOPZ THRSR VLKNN Q30 IZAAC EIC J4 ABI EWM DRRVR.PINNG1 KPHX,KORF,ORF,ZDC,KPHX,P50,ZAB
ABI,KBWI TERPZ8.MAULS Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI FANGZ.LZZRD4 KABQ,KBWI,PCT,ZDC,KABQ,ABQ,ZAB
ABI,KDCA CLTCH3.MAULS Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI FANGZ.LZZRD4 KABQ,KDCA,PCT,ZDC,KABQ,ABQ,ZAB
ABI,KIAD CLTCH3.MAULS Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI FANGZ.LZZRD4 KABQ,KIAD,PCT,ZDC,KABQ,ABQ,ZAB
ABI,KRIC AWYAT Q52 CHOPZ THRSR VLKNN Q30 IZAAC EIC J4 ABI CME.LZZRD4 KABQ,KRIC,PCT,ZDC,KABQ,ABQ,ZAB
ABI,KBWI TERPZ8.MAULS Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM DRRVR.PINNG1 KPHX,KBWI,PCT,ZDC,KPHX,P50,ZAB
ABI,KDCA CLTCH3.MAULS Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM DRRVR.PINNG1 KPHX,KDCA,PCT,ZDC,KPHX,P50,ZAB
ABI,KIAD CLTCH3.MAULS Q40 BFOLO FIBER HRISN Q30 IZAAC EIC J4 ABI EWM DRRVR.PINNG1 KPHX,KIAD,PCT,ZDC,KPHX,P50,ZAB
