origin,dest,route,type,area,altitude,aircraft,direction,dep_artcc,arr_artcc,origin_tracon,dest_tracon
AIR,KMRB,"AIR J162",HSD,,,,"E BND",,ZDC,,PCT
AIR,TRIXY,"AIR J34 TRIXY",HSD,,,,"E BND",,,,
ALLEX,ALLRY,"ALLEX ALLRY",NAR,"N503B: DIRECT",,,EASTBOUND,,,,
ALLEX,BUDAR,"ALLEX BUDAR",NAR,"N469B: DIRECT",,,EASTBOUND,,,,
ALLEX,CARAC,"ALLEX CARAC",NAR,DIRECT,,,EASTBOUND,,,,
ALLEX,ELSIR,"ALLEX ELSIR",NAR,"N431B: DIRECT",,,EASTBOUND,,,,
ALLEX,IBERG,"ALLEX IBERG",NAR,"N393B: DIRECT",,,EASTBOUND,,,,
ALLEX,IRLOK,"ALLEX IRLOK",NAR,"N801B: DIRECT",,,EASTBOUND,,,,
ALLEX,JANJO,"ALLEX JANJO",NAR,"N779A: DIRECT",,,EASTBOUND,,,,
ALLEX,JAROM,"ALLEX LOMPI JAROM",NAR,N45E,,,EASTBOUND,,,,
ALLEX,JOOPY,"ALLEX JOOPY",NAR,"N357C: DIRECT",,,EASTBOUND,,,,
ALLEX,KADW,"ALLEX LARIE Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN SPISY2",NAR,,,,WESTBOUND,,ZDC,,PCT
ALLEX,KATL,"ALLEX KAYCC KYLOH BAF Q448 PTW J48 MOL FLASK OZZZI2",NAR,,,,WESTBOUND,,ZTL,,A80
ALLEX,KAUS,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 LITTR TXK BROBB WINDU SEWZY6",NAR,,,,WESTBOUND,,ZHU,,AUS
ALLEX,KBDL,"ALLEX ENE KEYNN",NAR,,,,WESTBOUND,,ZBW,,Y90
ALLEX,KBED,"ALLEX SCUPP",NAR,,,,WESTBOUND,,ZBW,,A90
ALLEX,KBNA,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 YOCKY CUTRR PASLY5",NAR,,,,WESTBOUND,,ZME,,BNA
ALLEX,KBOS,"ALLEX AJJAY OOSHN5",NAR,,,,WESTBOUND,,ZBW,,A90
ALLEX,KBWI,"ALLEX KAYCC KYLOH NELIE Q75 MXE NUGGY TRISH4",NAR,,,,WESTBOUND,,ZDC,,PCT
ALLEX,KCHS,"ALLEX FOXBO RIFLE HEADI Q97 SAWED DFENC Q109 JOHAR AMYLU AMYLU3",NAR,,,,WESTBOUND,,ZJX,,CHS
ALLEX,KCLT,"ALLEX KAYCC KYLOH NELIE Q75 GVE AIROW CHSLY6",NAR,,,,WESTBOUND,,ZTL,,CLT
ALLEX,KCVG,"ALLEX ALB J49 PSB MAULL KODIE SAVVI TIGRR4",NAR,,,,WESTBOUND,,ZID,,CVG
ALLEX,KDFW,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 LITTR FEWWW SEEVR4",NAR,,,,WESTBOUND,,ZFW,,D10
ALLEX,KDOV,"ALLEX LARIE Q220 RIFLE Q439 BRIGS SIE",NAR,,,,WESTBOUND,,ZDC,,DOV
ALLEX,KDTW,"ALLEX GONZZ DONEO TPGUN2",NAR,,,,WESTBOUND,,ZOB,,D21
ALLEX,KEWR,"ALLEX HANAA FLOSI4",NAR,,,,WESTBOUND,,ZNY,,PHL
ALLEX,KFAY,"ALLEX FOXBO RIFLE Q167 KALDA COUPN RDU",NAR,,,,WESTBOUND,,ZDC,,FAY
ALLEX,KFLL,"ALLEX FOXBO RIFLE HEADI Q97 KALDA Q161 CHIEZ Y291 MAJIK CUUDA3",NAR,,,,WESTBOUND,,ZMA,,MIA
ALLEX,KFOK,"ALLEX LFV SEY ARCAV ORCHA",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KGSP,"ALLEX KAYCC KYLOH NELIE Q75 GVE FUBLL JUNNR4",NAR,,,,WESTBOUND,,ZTL,,GSP
ALLEX,KHPN,"ALLEX RIVVR VALRE1",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KIAD,"ALLEX KAYCC KYLOH BAF HYPER9",NAR,,,,WESTBOUND,,ZDC,,PCT
ALLEX,KIAH,"ALLEX KAYCC KYLOH BAF Q448 PTW J48 CSN FANPO Q40 AEX DOOBI3",NAR,,,,WESTBOUND,,ZHU,,I90
ALLEX,KJFK,"ALLEX ENE PARCH4",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KMCO,"ALLEX FOXBO RIFLE HEADI Q97 KALDA Q131 WAALT Y289 BAHAA HIBAC ALYNA4",NAR,,,,WESTBOUND,,ZJX,,F11
ALLEX,KMEM,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 RAMRD BLUZZ5",NAR,,,,WESTBOUND,,ZME,,M03
ALLEX,KMIA,"ALLEX FOXBO RIFLE HEADI Q97 KALDA Q101 SKARP Y313 HOAGG BNFSH3",NAR,,,,WESTBOUND,,ZMA,,MIA
ALLEX,KMLB,"ALLEX FOXBO RIFLE HEADI Q97 SAWED MOXXY Q85 LPERD OMN BITHO7",NAR,,,,WESTBOUND,,ZJX,,F11
ALLEX,KMSY,"ALLEX KAYCC KYLOH BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1",NAR,,,,WESTBOUND,,ZHU,,MSY
ALLEX,KODIK,"ALLEX KODIK",NAR,"N755A: DIRECT",,,EASTBOUND,,,,
ALLEX,KPHL,"ALLEX LARIE Q220 RIFLE Q439 BRIGS JIIMS4",NAR,,,,WESTBOUND,,ZNY,,PHL
ALLEX,KPIT,"ALLEX ENE CTR HNK KONJE SLT HAYNZ7",NAR,,,,WESTBOUND,,ZOB,,PIT
ALLEX,KPOB,"ALLEX FOXBO RIFLE Q167 KALDA COUPN RDU",NAR,,,,WESTBOUND,,ZDC,,FAY
ALLEX,KRDU,"ALLEX FOXBO RIFLE Q167 ZJAAY TAQLE3",NAR,,,,WESTBOUND,,ZDC,,RDU
ALLEX,KSDF,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 YOCKY LEDDL1",NAR,,,,WESTBOUND,,ZID,,SDF
ALLEX,KSWF,"ALLEX ALB TRESA1",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KTEB,"ALLEX ALB V489 COATE",NAR,,,,WESTBOUND,,ZNY,,PHL
ALLEX,KTPA,"ALLEX KAYCC KYLOH NELIE Q75 TEUFL BAAMF DADES2",NAR,,,,WESTBOUND,,ZMA,,TPA
ALLEX,KWRI,"ALLEX LARIE Q220 RIFLE Q439 DRIFT T416 CYN",NAR,,,,WESTBOUND,,ZNY,,WRI
