EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
01/22/2026,BLAID,AALAN.BLAID2_old_2602_changed,ZLA,LAS,AALAN-BLAID,BCE.BLAID2,BRYCE CANYON TRANSITION,BCE HOLDM AALAN BLAID,BCE HOLDM AALAN BLAID LAS
03/19/2026,BLAID,AALAN.BLAID2,ZLA,LAS,AALAN-BLAID,BCE.BLAID2,BRYCE CANYON TRANSITION,BCE HOLDM AALAN BLAID,BCE HOLDM AALAN BLAID LAS
01/22/2026,BLAID,AALAN.BLAID2_old_2602_changed,ZLA,LAS,AALAN-BLAID,EHK.BLAID2,ENOCH TRANSITION,EHK HOLDM AALAN BLAID,EHK HOLDM AALAN BLAID LAS
03/19/2026,BLAID,AALAN.BLAID2,ZLA,LAS,AALAN-BLAID,EHK.BLAID2,ENOCH TRANSITION,EHK HOLDM AALAN BLAID,EHK HOLDM AALAN BLAID LAS
01/22/2026,BLAID,AALAN.BLAID2_old_2602_changed,ZLA,LAS,AALAN-BLAID,PGA.BLAID2,PAGE TRANSITION,PGA HOLDM AALAN BLAID,PGA HOLDM AALAN BLAID LAS
03/19/2026,BLAID,AALAN.BLAID2,ZLA,LAS,AALAN-BLAID,PGA.BLAID2,PAGE TRANSITION,PGA HOLDM AALAN BLAID,PGA HOLDM AALAN BLAID LAS
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD HIGUN KIPPR,BBOTL AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,BBOTL.AALLE4,BBOTL TRANSITION,BBOTL AALLE HEDDD CRUNK,BBOTL AALLE HEDDD CRUNK DEN/25|26
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD HIGUN KIPPR,BIDDR CAASK FOAMM AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,BIDDR.AALLE4,BIDDR TRANSITION,BIDDR CAASK FOAMM AALLE HEDDD CRUNK,BIDDR CAASK FOAMM AALLE HEDDD CRUNK DEN/25|26
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD HIGUN KIPPR,CAASK FOAMM AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,CAASK.AALLE4,CAASK TRANSITION,CAASK FOAMM AALLE HEDDD CRUNK,CAASK FOAMM AALLE HEDDD CRUNK DEN/25|26
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,FOAMM.AALLE4,FOAMM TRANSITION,FOAMM AALLE HEDDD HIGUN KIPPR,FOAMM AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,FOAMM.AALLE4,FOAMM TRANSITION,FOAMM AALLE HEDDD CRUNK,FOAMM AALLE HEDDD CRUNK DEN/25|26
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,HOPPP.AALLE4,HOPPP TRANSITION,HOPPP YEAST BIDDR CAASK FOAMM AALLE HEDDD HIGUN KIPPR,HOPPP YEAST BIDDR CAASK FOAMM AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,HOPPP.AALLE4,HOPPP TRANSITION,HOPPP YEAST BIDDR CAASK FOAMM AALLE HEDDD CRUNK,HOPPP YEAST BIDDR CAASK FOAMM AALLE HEDDD CRUNK DEN/25|26
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,MALTE.AALLE4,MALTE TRANSITION,MALTE BBOTL AALLE HEDDD HIGUN KIPPR,MALTE BBOTL AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,MALTE.AALLE4,MALTE TRANSITION,MALTE BBOTL AALLE HEDDD CRUNK,MALTE BBOTL AALLE HEDDD CRUNK DEN/25|26
01/22/2026,AALLE,AALLE.AALLE4_old_2602_changed,ZDV,DEN/16L|16R|17L|17R,AALLE-KIPPR,MILKK.AALLE4,MILKK TRANSITION,MILKK SDOUT MALTE BBOTL AALLE HEDDD HIGUN KIPPR,MILKK SDOUT MALTE BBOTL AALLE HEDDD HIGUN KIPPR DEN/16L|16R|17L|17R
03/19/2026,AALLE,AALLE.AALLE4,ZDV,DEN/25|26,AALLE-CRUNK,MILKK.AALLE4,MILKK TRANSITION,MILKK SDOUT MALTE BBOTL AALLE HEDDD CRUNK,MILKK SDOUT MALTE BBOTL AALLE HEDDD CRUNK DEN/25|26
